Sekanja	Sekanjas	V;ACT;NFIN	ADJ;INDF;GEN;PL
Sekanjas	Sekanja	ADJ;INDF;GEN;PL	V;ACT;NFIN
yrke	yrket	V.PTCP;PST	V;ACT;NFIN;COMPOUND
yrket	yrke	V;ACT;NFIN;COMPOUND	V.PTCP;PST
trä	träd	V;ACT;NFIN;COMPOUND	V.PTCP;PST
trä	träda	V;ACT;NFIN;COMPOUND	V;ACT;NFIN
träd	trä	V.PTCP;PST	V;ACT;NFIN;COMPOUND
träd	träda	V.PTCP;PST	V;ACT;NFIN
träd	träet	V.PTCP;PST	V;ACT;NFIN;COMPOUND
träda	trä	V;ACT;NFIN	V;ACT;NFIN;COMPOUND
träda	träd	V;ACT;NFIN	V.PTCP;PST
träda	träet	V;ACT;NFIN	V;ACT;NFIN;COMPOUND
träet	träd	V;ACT;NFIN;COMPOUND	V.PTCP;PST
träet	träda	V;ACT;NFIN;COMPOUND	V;ACT;NFIN
Elia	Elis	V;ACT;NFIN	N;INDF;GEN;SG
Elia	Elias	V;ACT;NFIN	ADJ;INDF;GEN;PL
Elis	Elia	N;INDF;GEN;SG	V;ACT;NFIN
Elis	Elias	N;INDF;GEN;SG	ADJ;INDF;GEN;PL
Elias	Elia	ADJ;INDF;GEN;PL	V;ACT;NFIN
Elias	Elis	ADJ;INDF;GEN;PL	N;INDF;GEN;SG
trång	trånga	V;ACT;NFIN;COMPOUND	V;ACT;NFIN
trång	trångt	V;ACT;NFIN;COMPOUND	ADJ;INDF;NEUT;SG
trånga	trång	V;ACT;NFIN	V;ACT;NFIN;COMPOUND
trånga	trångt	V;ACT;NFIN	ADJ;INDF;NEUT;SG
trångt	trång	ADJ;INDF;NEUT;SG	V;ACT;NFIN;COMPOUND
trångt	trånga	ADJ;INDF;NEUT;SG	V;ACT;NFIN
ohöljd	ohöljt	V.PTCP;PST	ADJ;INDF;NEUT;SG
ohöljt	ohöljd	ADJ;INDF;NEUT;SG	V.PTCP;PST
hemställa	hemställde	V;ACT;NFIN	V;ACT;IND;PST
hemställde	hemställa	V;ACT;IND;PST	V;ACT;NFIN
cederträ	cederträd	V;ACT;NFIN;COMPOUND	V.PTCP;PST
cederträet	cederträd	V;ACT;NFIN;COMPOUND	V.PTCP;PST
cederträd	cederträ	V.PTCP;PST	V;ACT;NFIN;COMPOUND
cederträd	cederträet	V.PTCP;PST	V;ACT;NFIN;COMPOUND
bila	bild	V;ACT;NFIN	V.PTCP;PST
bila	bilor	V;ACT;NFIN	ADJ;PRS;GEN
bild	bila	V.PTCP;PST	V;ACT;NFIN
bild	bilda	V.PTCP;PST	V;ACT;NFIN
bild	bilor	V.PTCP;PST	ADJ;PRS;GEN
bilda	bild	V;ACT;NFIN	V.PTCP;PST
bilda	bilor	V;ACT;NFIN	ADJ;PRS;GEN
