krefja	ERR
krefst	V;IND;PRS;1;SG
krefst	V;IND;PRS;2;SG
krefst	V;IND;PRS;3;SG
saklaus	ADJ;NOM;PL
saklaus	ADJ;ACC;PL
saklaus	ADJ;NOM;SG
saklausa	ERR
saklaust	ERR
syni	ERR
synir	ERR
synja	UNK
Vakið	ERR
Vakna	ERR
tamast	UNK
tamist	ERR
tamið	ERR
útlagt	UNK
útlagði	UNK
húðstrýki	UNK
húðstrýkja	UNK
húðstrýktu	UNK
hala	UNK
halt	UNK
haltu	ERR
smurði	ERR
smurðu	V.PTCP;PST;ACC;PL
smurðu	V.PTCP;PST;GEN;SG
smurðu	V.PTCP;PST;DAT;SG
smurðu	V;IND;PST;3;PL
smurðu	V.PTCP;PST;DAT;PL
smurðu	V.PTCP;PST;ACC;SG
smurðu	V.PTCP;PST;GEN;PL
smurðu	V.PTCP;PST;NOM;PL
smurt	ERR
hyrningarsteini	UNK
hyrningarsteinn	UNK
dvelst	V;IND;PRS;1;SG
dvelst	V;IND;PRS;2;SG
dvelst	V;IND;PRS;3;SG
dvelst	V;NFIN
dvelur	ERR
háð	ERR
háði	ERR
háir	V;SBJV;PRS;2;SG
háir	V;IND;PRS;2;SG
háir	ADJ;NOM;PL
háir	V;IND;PRS;3;SG
háum	V;SBJV;PRS;1;PL
háum	ADJ;DAT;PL
háum	V;IND;PRS;1;PL
háum	ADJ;DAT;SG
lyftir	UNK
lyftið	UNK
kröftugi	UNK
kröftugt	UNK
treðst	V;IND;PRS;1;SG
treðst	V;IND;PRS;2;SG
treðst	V;IND;PRS;3;SG
treður	ERR
haf	N;INDF;ACC;SG
haf	N;INDF;NOM;SG
haf	V;IMP;2;SG
hafna	V.PTCP;PST;ACC;PL
hafna	V.PTCP;PST;GEN;SG
hafna	V.PTCP;PST;DAT;SG
hafna	V.PTCP;PST;NOM;SG
hafna	V.PTCP;PST;ACC;SG
hafna	N;INDF;GEN;PL
hafi	N;INDF;DAT;SG
hafi	V;SBJV;PRS;3;SG
hafi	V;SBJV;PRS;1;SG
hafi	V;SBJV;PRS;3;PL
hafin	V.PTCP;PST;ACC;PL
hafin	V.PTCP;PST;NOM;SG
hafin	V.PTCP;PST;NOM;PL
hafinn	V.PTCP;PST;ACC;SG
hafinn	V.PTCP;PST;NOM;SG
hafir	V;SBJV;PRS;2;SG
hafið	N;DEF;NOM;SG
hafið	N;DEF;ACC;SG
hafið	V;SBJV;PRS;2;PL
hafið	V.CVB
hafið	V.PTCP;PST;ACC;SG
hafið	V;IMP;2;PL
hafið	V.PTCP;PST;NOM;PL
hafið	V;IND;PRS;2;PL
hafðu	UNK
hafði	V;IND;PST;3;SG
hafði	V;IND;PST;1;SG
haft	V.CVB
hafa	N;INDF;GEN;PL
hafa	V;IND;PRS;3;PL
hafa	V;NFIN
auk	UNK
auk	V;IMP;2;SG
auka	N;INDF;DAT;SG
auka	N;INDF;ACC;SG
auka	V;IND;PRS;3;PL
auka	N;INDF;ACC;PL
auka	N;INDF;GEN;SG
auka	N;INDF;GEN;PL
auka	V;NFIN
aukast	V;IND;PRS;3;PL
aukast	V;NFIN
auki	V;SBJV;PRS;1;SG
auki	N;INDF;NOM;SG
auki	V;SBJV;PRS;3;SG
auki	V;SBJV;PRS;3;PL
aukist	V;SBJV;PRS;1;SG
aukist	V;IMP;2;PL
aukist	V;SBJV;PRS;3;PL
aukist	V;SBJV;PRS;2;PL
aukist	V.CVB
aukist	V;SBJV;PRS;3;SG
aukist	V;SBJV;PRS;2;SG
aukist	V;IND;PRS;2;PL
aukið	V;IMP;2;PL
aukið	V;SBJV;PRS;2;PL
aukið	V.PTCP;PST;NOM;SG
aukið	V.CVB
aukið	V.PTCP;PST;ACC;SG
aukið	ADJ;NOM;SG
aukið	ADJ;ACC;SG
aukið	V;IND;PRS;2;PL
skelfa	UNK
skelfast	UNK
skelfist	UNK
legg	ERR
leggja	V;IND;PRS;3;PL
leggja	V;NFIN
leggi	V;SBJV;PRS;3;SG
leggi	V;SBJV;PRS;1;SG
leggi	V;NFIN
leggi	V;SBJV;PRS;3;PL
leggið	V;IMP;2;PL
leggið	V;SBJV;PRS;2;PL
leggið	V;IND;PRS;2;PL
leggir	ERR
leggst	V;IND;PRS;1;SG
leggst	V;IND;PRS;2;SG
leggst	V;IND;PRS;3;SG
leggst	V;NFIN
leggur	V;IND;PRS;2;SG
leggur	V;IND;PRS;3;SG
leggur	V;NFIN
vex	V;IND;PRS;1;SG
vex	V;IND;PRS;3;SG
vex	V;NFIN
vexti	ERR
dæma	N;INDF;GEN;PL
dæma	V;IND;PRS;3;PL
dæma	V;NFIN
