breche	breche	POS=0;SRC_LABEL=10;TGT_LABEL=10
breche	brechen	POS=0;SRC_LABEL=10;TGT_LABEL=0
breche	brechet	POS=0;SRC_LABEL=10;TGT_LABEL=14
breche	brecht	POS=0;SRC_LABEL=10;TGT_LABEL=12
brechen	breche	POS=0;SRC_LABEL=0;TGT_LABEL=10
brechen	brechen	POS=0;SRC_LABEL=0;TGT_LABEL=0
brechen	brechet	POS=0;SRC_LABEL=0;TGT_LABEL=14
brechen	brecht	POS=0;SRC_LABEL=0;TGT_LABEL=12
brechet	breche	POS=0;SRC_LABEL=14;TGT_LABEL=10
brechet	brechen	POS=0;SRC_LABEL=14;TGT_LABEL=0
brechet	brechet	POS=0;SRC_LABEL=14;TGT_LABEL=14
brechet	brecht	POS=0;SRC_LABEL=14;TGT_LABEL=12
brecht	breche	POS=0;SRC_LABEL=12;TGT_LABEL=10
brecht	brechen	POS=0;SRC_LABEL=12;TGT_LABEL=0
brecht	brechet	POS=0;SRC_LABEL=12;TGT_LABEL=14
brecht	brecht	POS=0;SRC_LABEL=12;TGT_LABEL=12
leihe	leihe	POS=0;SRC_LABEL=10;TGT_LABEL=10
leihe	leihst	POS=0;SRC_LABEL=10;TGT_LABEL=3
leihe	leihet	POS=0;SRC_LABEL=10;TGT_LABEL=14
leihe	leihen	POS=0;SRC_LABEL=10;TGT_LABEL=0
leihe	leiher	POS=0;SRC_LABEL=10;TGT_LABEL=7
leihst	leihe	POS=0;SRC_LABEL=3;TGT_LABEL=10
leihst	leihst	POS=0;SRC_LABEL=3;TGT_LABEL=3
leihst	leihet	POS=0;SRC_LABEL=3;TGT_LABEL=14
leihst	leihen	POS=0;SRC_LABEL=3;TGT_LABEL=0
leihst	leiher	POS=0;SRC_LABEL=3;TGT_LABEL=7
leihet	leihe	POS=0;SRC_LABEL=14;TGT_LABEL=10
leihet	leihst	POS=0;SRC_LABEL=14;TGT_LABEL=3
leihet	leihet	POS=0;SRC_LABEL=14;TGT_LABEL=14
leihet	leihen	POS=0;SRC_LABEL=14;TGT_LABEL=0
leihet	leiher	POS=0;SRC_LABEL=14;TGT_LABEL=7
leihen	leihe	POS=0;SRC_LABEL=0;TGT_LABEL=10
leihen	leihst	POS=0;SRC_LABEL=0;TGT_LABEL=3
leihen	leihet	POS=0;SRC_LABEL=0;TGT_LABEL=14
leihen	leihen	POS=0;SRC_LABEL=0;TGT_LABEL=0
leihen	leiher	POS=0;SRC_LABEL=0;TGT_LABEL=7
