permanece	permanece	POS=0;SRC_LABEL=14;TGT_LABEL=14
permanece	permanecer	POS=0;SRC_LABEL=14;TGT_LABEL=3
permanece	permanecen	POS=0;SRC_LABEL=14;TGT_LABEL=10
permanece	permanecía	POS=0;SRC_LABEL=14;TGT_LABEL=1
permanece	permaneció	POS=0;SRC_LABEL=14;TGT_LABEL=2
permanecer	permanece	POS=0;SRC_LABEL=3;TGT_LABEL=14
permanecer	permanecer	POS=0;SRC_LABEL=3;TGT_LABEL=3
permanecer	permanecen	POS=0;SRC_LABEL=3;TGT_LABEL=10
permanecer	permanecía	POS=0;SRC_LABEL=3;TGT_LABEL=1
permanecer	permaneció	POS=0;SRC_LABEL=3;TGT_LABEL=2
permanecen	permanece	POS=0;SRC_LABEL=10;TGT_LABEL=14
permanecen	permanecer	POS=0;SRC_LABEL=10;TGT_LABEL=3
permanecen	permanecen	POS=0;SRC_LABEL=10;TGT_LABEL=10
permanecen	permanecía	POS=0;SRC_LABEL=10;TGT_LABEL=1
permanecen	permaneció	POS=0;SRC_LABEL=10;TGT_LABEL=2
permanecía	permanece	POS=0;SRC_LABEL=1;TGT_LABEL=14
permanecía	permanecer	POS=0;SRC_LABEL=1;TGT_LABEL=3
permanecía	permanecen	POS=0;SRC_LABEL=1;TGT_LABEL=10
permanecía	permanecía	POS=0;SRC_LABEL=1;TGT_LABEL=1
permanecía	permaneció	POS=0;SRC_LABEL=1;TGT_LABEL=2
permaneció	permanece	POS=0;SRC_LABEL=2;TGT_LABEL=14
permaneció	permanecer	POS=0;SRC_LABEL=2;TGT_LABEL=3
permaneció	permanecen	POS=0;SRC_LABEL=2;TGT_LABEL=10
permaneció	permanecía	POS=0;SRC_LABEL=2;TGT_LABEL=1
permaneció	permaneció	POS=0;SRC_LABEL=2;TGT_LABEL=2
manantial	manantial	POS=0;SRC_LABEL=0;TGT_LABEL=0
manantial	manantiales	POS=0;SRC_LABEL=0;TGT_LABEL=4
manantiales	manantial	POS=0;SRC_LABEL=4;TGT_LABEL=0
manantiales	manantiales	POS=0;SRC_LABEL=4;TGT_LABEL=4
apóstol	apóstol	POS=0;SRC_LABEL=0;TGT_LABEL=0
apóstol	apóstoles	POS=0;SRC_LABEL=0;TGT_LABEL=4
apóstoles	apóstol	POS=0;SRC_LABEL=4;TGT_LABEL=0
apóstoles	apóstoles	POS=0;SRC_LABEL=4;TGT_LABEL=4
pague	pague	POS=0;SRC_LABEL=14;TGT_LABEL=14
pague	paguemos	POS=0;SRC_LABEL=14;TGT_LABEL=9
pague	paguen	POS=0;SRC_LABEL=14;TGT_LABEL=10
pague	pagues	POS=0;SRC_LABEL=14;TGT_LABEL=4
paguemos	pague	POS=0;SRC_LABEL=9;TGT_LABEL=14
paguemos	paguemos	POS=0;SRC_LABEL=9;TGT_LABEL=9
paguemos	paguen	POS=0;SRC_LABEL=9;TGT_LABEL=10
paguemos	pagues	POS=0;SRC_LABEL=9;TGT_LABEL=4
paguen	pague	POS=0;SRC_LABEL=10;TGT_LABEL=14
paguen	paguemos	POS=0;SRC_LABEL=10;TGT_LABEL=9
paguen	paguen	POS=0;SRC_LABEL=10;TGT_LABEL=10
paguen	pagues	POS=0;SRC_LABEL=10;TGT_LABEL=4
pagues	pague	POS=0;SRC_LABEL=4;TGT_LABEL=14
pagues	paguemos	POS=0;SRC_LABEL=4;TGT_LABEL=9
pagues	paguen	POS=0;SRC_LABEL=4;TGT_LABEL=10
pagues	pagues	POS=0;SRC_LABEL=4;TGT_LABEL=4
quieras	quieras	POS=0;SRC_LABEL=5;TGT_LABEL=5
quieras	quiere	POS=0;SRC_LABEL=5;TGT_LABEL=14
