jaga	jagas	V;NFIN	V;PASS;IND;PRS	C
sälja	sälj	V;NFIN	V;IMP	C
förfara	förfors	V;NFIN	V;PASS;IND;PST	C
besöka	besök	V;NFIN	V;IMP	C
bunden	bundne	ADJ;NFIN	ADJ;DEF;MASC;SG	C
läsa	lästes	V;NFIN	V;PASS;IND;PST	C
bälte	bältets	N;NFIN	N;DEF;GEN;SG	C
borgare	borgarens	N;NFIN	N;DEF;GEN;SG	C
anklaga	anklagades	V;NFIN	V;PASS;IND;PST	C
fattad	fattat	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
fäste	fästens	N;NFIN	N;INDF;GEN;PL	C
söka	sök	V;NFIN	V;IMP	C
täck	täckt	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
rov	rov	N;NFIN	N;INDF;NOM;SG	C
upplysa	upplyses	V;NFIN	V;PASS;IND;PRS	C
koka	kokade	V;NFIN	V;ACT;IND;PST	C
ax	ax	N;NFIN	N;INDF;NOM;PL	C
lärd	lärde	ADJ;NFIN	ADJ;DEF;MASC;SG	C
berömma	berömde	V;NFIN	V;ACT;IND;PST	C
odjur	odjurets	N;NFIN	N;DEF;GEN;SG	C
befästa	befästa	V;NFIN	V;ACT;NFIN	C
antända	antänder	V;NFIN	V;ACT;IND;PRS	C
blotta	blottas	V;NFIN	V;PASS;IND;PRS	C
utgöra	utgjordes	V;NFIN	V;PASS;IND;PST	C
rov	rovets	N;NFIN	N;DEF;GEN;SG	C
sköta	sköt	V;NFIN	V;IMP	C
tala	talade	V;NFIN	V;ACT;IND;PST	C
blotta	blotta	V;NFIN	V;ACT;NFIN	C
blotta	blotta	V;NFIN	V;ACT;NFIN	C
våld	vålds	N;NFIN	N;INDF;GEN;SG	C
stöta	stöttes	V;NFIN	V;PASS;IND;PST	C
tysta	tystades	V;NFIN	V;PASS;IND;PST	C
bakhåll	bakhåll	N;NFIN	N;INDF;NOM;SG	C
lösa	lös	V;NFIN	V;IMP	C
öppna	öppnas	V;NFIN	V;PASS;IND;PRS	C
stöta	stöttes	V;NFIN	V;PASS;IND;PST	C
betäcka	betäck	V;NFIN	V;IMP	C
sakna	saknas	V;NFIN	V;PASS;IND;PRS	C
bytta	byttan	N;NFIN	N;DEF;NOM;SG	C
tåga	tåga	V;NFIN	V;ACT;NFIN	C
dyrka	dyrkas	V;NFIN	V;PASS;NFIN	C
odjur	odjurs	N;NFIN	N;INDF;GEN;PL	C
söka	söka	V;NFIN	V;ACT;NFIN	C
anställa	anställa	V;NFIN	V;ACT;NFIN	C
murare	murarens	N;NFIN	N;DEF;GEN;SG	C
åra	årors	N;NFIN	N;INDF;GEN;PL	C
vilddjur	vilddjurs	N;NFIN	N;INDF;GEN;PL	C
flytta	flyttar	V;NFIN	V;ACT;IND;PRS	C
blotta	blotta	V;NFIN	V;ACT;NFIN	C
påbud	påbuds	N;NFIN	N;INDF;GEN;PL	C
täcke	täcken	N;NFIN	N;INDF;NOM;PL	C
utfärda	utfärdas	V;NFIN	V;PASS;IND;PRS	C
lärd	lärd	ADJ;NFIN	ADJ;INDF;MASC+FEM;SG	C
tala	talas	V;NFIN	V;PASS;IND;PRS	C
utfärda	utfärdas	V;NFIN	V;PASS;NFIN	C
fästa	fästas	V;NFIN	V;PASS;NFIN	C
korsfästa	korsfästes	V;NFIN	V;PASS;IND;PST	C
klädd	klädd	ADJ;NFIN	ADJ;INDF;MASC+FEM;SG	C
sända	sänds	V;NFIN	V;PASS;IND;PRS	C
upplösa	upplösas	V;NFIN	V;PASS;NFIN	C
avstånd	avståndet	N;NFIN	N;DEF;NOM;SG	C
församla	församla	V;NFIN	V;ACT;NFIN	C
koka	kokades	V;NFIN	V;PASS;IND;PST	C
blotta	blottas	V;NFIN	V;PASS;NFIN	C
mäta	mäta	V;NFIN	V;ACT;NFIN	C
korsfästa	korsfästes	V;NFIN	V;PASS;IND;PST	C
befästa	befästas	V;NFIN	V;PASS;NFIN	C
minska	minskade	V;NFIN	V;ACT;IND;PST	C
våld	vålds	N;NFIN	N;INDF;GEN;SG	C
blotta	blottas	V;NFIN	V;PASS;IND;PRS	C
förvara	förvarade	V;NFIN	V;ACT;IND;PST	C
blotta	blotta	V;NFIN	V;ACT;NFIN	C
ringare	ringaren	N;NFIN	N;DEF;NOM;SG	C
svänga	svängdes	V;NFIN	V;PASS;IND;PST	C
given	givet	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
använda	använd	V;NFIN	V;IMP	C
använda	använd	V;NFIN	V;IMP	C
udde	uddarna	N;NFIN	N;DEF;NOM;PL	C
blotta	blottas	V;NFIN	V;PASS;NFIN	C
blotta	blottas	V;NFIN	V;PASS;IND;PRS	C
lösa	lös	V;NFIN	V;IMP	C
stöta	stöta	V;NFIN	V;ACT;NFIN	C
laga	lagades	V;NFIN	V;PASS;IND;PST	C
täck	täckt	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
stärka	stärk	V;NFIN	V;IMP	C
blotta	blottas	V;NFIN	V;PASS;NFIN	C
bälte	bältets	N;NFIN	N;DEF;GEN;SG	C
utsträcka	utsträcka	V;NFIN	V;ACT;NFIN	C
anställa	anställas	V;NFIN	V;PASS;NFIN	C
