src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
fürchtet,fürchtest,0_6,0_10,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg - verb;prs;p2;pl,verb;pri;p2;sg - verb;prs;p2;sg,C
neigest,neigten,0_2,0_11,verb;prs;p2;sg,verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,C
Welcher,Welches,0_5,0_8,prn;itg;m;pl;gen - prn;itg;m;sg;nom - prn;itg;nt;pl;gen - prn;itg;f;pl;gen - prn;itg;f;sg;gen - prn;itg;f;sg;dat,prn;itg;m;sg;gen - prn;itg;nt;sg;nom - prn;itg;nt;sg;gen - prn;itg;nt;sg;acc,C
Ai,Ais,1_0,1_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
lasse,lasset,0_3,0_9,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;prs;p2;pl,C
sollten,soll,0_11,0_12,verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,n;nt;sg;nom;lower - n;nt;sg;dat;lower - n;nt;sg;acc;lower - n;nt;sg;nom;lower;compound-R - n;nt;sg;dat;lower;compound-R - n;nt;sg;acc;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L - verb;pri;p1;sg - verb;pri;p3;sg,C
Korinth,Korinther,0_12,0_5,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
schlügen,schlüget,0_0,0_9,verb;pis;p1;pl - verb;pis;p3;pl,verb;pis;p2;pl,C
anriefen,anriefst,0_0,0_10,verb;sep;fs;pii;p1;pl - verb;sep;fs;pii;p3;pl - verb;sep;fs;pis;p1;pl - verb;sep;fs;pis;p3;pl,verb;sep;fs;pii;p2;sg,C
mangelt,mangeln,0_6,0_0,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg - verb;prs;p2;pl,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,C
fülle,füllten,0_3,0_11,n;f;sg;nom;lower - n;f;sg;gen;lower - n;f;sg;dat;lower - n;f;sg;acc;lower - verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg - n;f;sg;nom;lower;compound-R - n;f;sg;gen;lower;compound-R - n;f;sg;dat;lower;compound-R - n;f;sg;acc;lower;compound-R - n;f;sg;lower;cmp;compound-only-L,verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,C
an,an,1_1,1_1,pr;dat - pr;acc,pr;dat - pr;acc,SRC_POS_ERROR TGT_POS_ERROR
ganzer,ganzem,0_5,0_7,adj;sint;m;sg;nom;st - adj;sint;m;sg;nom;mix - adj;sint;m;pl;gen;st - adj;sint;f;sg;gen;st - adj;sint;f;sg;dat;st - adj;sint;f;pl;gen;st,adj;sint;m;sg;dat;st - adj;sint;nt;sg;dat;st,C
verborgenem,verborgener,0_7,0_5,verb;pp - adj;sint;m;sg;dat;st - adj;sint;nt;sg;dat;st,adj;sint;comp;attr - adj;sint;comp;pred - adj;sint;m;sg;nom;st - adj;sint;m;sg;nom;mix - adj;sint;m;pl;gen;st - adj;sint;f;sg;gen;st - adj;sint;f;sg;dat;st - adj;sint;f;pl;gen;st,C
räucherten,räucherte,0_11,0_4,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
erhöht,erhöhte,0_6,0_4,verb;pp - verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,C
