src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
genginn,gengi,0_2,0_15,verb;actv;pp;m;sg;nom;sta - verb;actv;pp;m;sg;acc;sta,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;sg;dat;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,C
kom,komast,0_14,0_11,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;imp;p2;sg,verb;midv;inf - verb;midv;pri;p3;pl,C
freistar,freista,1_9,1_14,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;inf - verb;actv;pri;p1;sg - verb;actv;pri;p3;pl - verb;actv;imp;p2;sg,C
sættist,sættast,0_7,0_11,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
varðveiti,varðveitast,0_15,0_11,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,verb;midv;inf - verb;midv;pri;p3;pl,C
góðir,góð,1_4,1_0,adj;pst;m;pl;nom;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
hvílíks,hvílíkan,1_13,1_3,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
máttur,máttinn,1_12,1_5,n;m;sg;nom;ind,n;m;sg;acc;def,C
þorpa,þorp,1_14,1_0,n;nt;pl;gen;ind,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
lastmæltu,lastmæli,0_4,0_15,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
treystu,treysti,1_17,1_7,verb;actv;past;p3;pl - verb;actv;pss;p3;pl - verb;actv;imp;p2;sg,verb;actv;pri;p1;sg - verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,C
rannsakið,rannsakar,1_15,1_9,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,C
staður,stað,1_12,1_0,n;m;sg;nom;ind,n;m;sg;acc;ind - n;m;sg;dat;ind,C
kemur,kem,0_16,0_14,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p1;sg,C
fátækum,fátæk,1_2,1_0,adj;pst;m;sg;dat;sta - adj;pst;m;pl;dat;sta - adj;pst;f;pl;dat;sta - adj;pst;nt;pl;dat;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,C
þúsundunum,þúsundum,1_1,1_2,n;nt;pl;dat;def - n;f;pl;dat;def,n;f;pl;dat;ind - n;nt;pl;dat;ind,C
ritar,ritað,1_9,1_8,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;supn - verb;actv;pp;nt;sg;nom;sta - verb;actv;pp;nt;sg;acc;sta,C
rætst,rætur,0_12,0_16,,,SRC_LEXICAL_ERROR
fávísa,fávísar,1_14,1_9,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
grafinn,grafir,0_2,0_8,adj;pst;m;sg;nom;sta - adj;pst;m;sg;acc;sta,n;f;pl;nom;ind - n;f;pl;acc;ind,POS_PAIR_ERROR
óbyggðum,óbyggð,1_2,1_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ljóna,ljón,1_14,1_0,n;nt;pl;gen;ind,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,C
ásettu,ásetti,1_17,1_7,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
