src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
περιφρονήσῃ,περιφρονῆτε,2_18,?,2_9,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
γυναικῶν,γυναικός,2_24,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
παραμένω,παραμένεις,1_8,V;1;SG;IPFV;PRS,1_6,V;2;SG;IPFV;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
πανδρευθῇ,πανδρευθοῦν,2_2,?,2_3,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
στενὸς,στενὸν,2_21,?,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
βάλε,βάλουν,1_11,V;2;SG;IMP,1_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
θεωρῶ,θεωρῆτε,2_7,?,2_9,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἰουδαϊκόν,ἰουδαϊκὸν,2_13,ADJ;NOM;SG;NEUT,2_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
σεβασμός,σεβασμίαν,2_22,ADJ;NOM;SG;MASC,2_23,?,,,TGT_LEXICAL_ERROR
ἔδωσαν,ἔδωσε,0_5,?,0_12,V;3;SG;PFV;PST,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
θεὸν,θεός,2_4,?,2_22,ADJ;NOM;SG;MASC,,,SRC_LEXICAL_ERROR
λάβετε,λάβῃ,1_3,V;2;PL;IMP,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἀναβλέψῃς,ἀναβλέψῃ,1_2,?,1_4,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
θαυμάζουν,θαυμάζων,1_5,?,1_9,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κρατοῦν,κρατῶ,2_3,?,2_7,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
οἰκοδομὴ,οἰκοδομήσῃ,2_20,?,2_18,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
περιουσίαν,περιουσία,0_5,?,0_0,N;ACC;SG,,,SRC_LEXICAL_ERROR
γεωργὸς,γεωργοὶ,2_21,?,2_19,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
κάνωμεν,κάνετε,1_7,?,1_3,V;2;PL;IMP,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ὅλο,ὅλες,0_10,ADJ;VOC;SG;NEUT,0_9,N;NOM;PL,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
ἐκάλεσε,ἐκάλεσαν,0_12,V;3;SG;PFV;PST,0_5,?,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
