src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
rooms,room,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl,n;sg,C
room,rooms,1_2,V;NFIN,1_0,V;3;SG;PRS,n;sg,n;pl,C
hairs,hair,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl,n;sg,C
hair,hairs,1_2,V;NFIN,1_0,V;3;SG;PRS,n;sg,n;pl,C
whispered,whispering,1_1,V;PST,1_3,V;V.PTCP;PRS,verb;pp - verb;past,verb;pprs - verb;subs - verb;ger,C
whispering,whispered,1_3,V;V.PTCP;PRS,1_1,V;PST,verb;pprs - verb;subs - verb;ger,verb;pp - verb;past,C
sums,sum,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl - verb;pres;p3;sg,n;sg - verb;inf - verb;pres - verb;imp,C
sum,sums,1_2,V;NFIN,1_0,V;3;SG;PRS,n;sg - verb;inf - verb;pres - verb;imp,n;pl - verb;pres;p3;sg,C
galileans,galilean,1_0,V;3;SG;PRS,1_2,V;NFIN,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
galilean,galileans,1_2,V;NFIN,1_0,V;3;SG;PRS,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
looks,looked,1_0,V;3;SG;PRS,1_1,V;PST,n;pl - verb;pres;p3;sg,verb;pp - verb;past,C
looks,look,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl - verb;pres;p3;sg,adv; - n;sg - verb;inf - verb;pres - verb;imp,C
looks,looking,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,n;pl - verb;pres;p3;sg,verb;pprs - verb;subs - verb;ger,C
looked,looks,1_1,V;PST,1_0,V;3;SG;PRS,verb;pp - verb;past,n;pl - verb;pres;p3;sg,C
looked,look,1_1,V;PST,1_2,V;NFIN,verb;pp - verb;past,adv; - n;sg - verb;inf - verb;pres - verb;imp,C
looked,looking,1_1,V;PST,1_3,V;V.PTCP;PRS,verb;pp - verb;past,verb;pprs - verb;subs - verb;ger,C
look,looks,1_2,V;NFIN,1_0,V;3;SG;PRS,adv; - n;sg - verb;inf - verb;pres - verb;imp,n;pl - verb;pres;p3;sg,C
look,looked,1_2,V;NFIN,1_1,V;PST,adv; - n;sg - verb;inf - verb;pres - verb;imp,verb;pp - verb;past,C
look,looking,1_2,V;NFIN,1_3,V;V.PTCP;PRS,adv; - n;sg - verb;inf - verb;pres - verb;imp,verb;pprs - verb;subs - verb;ger,C
looking,looks,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,verb;pprs - verb;subs - verb;ger,n;pl - verb;pres;p3;sg,C
looking,looked,1_3,V;V.PTCP;PRS,1_1,V;PST,verb;pprs - verb;subs - verb;ger,verb;pp - verb;past,C
looking,look,1_3,V;V.PTCP;PRS,1_2,V;NFIN,verb;pprs - verb;subs - verb;ger,adv; - n;sg - verb;inf - verb;pres - verb;imp,C
flames,flame,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl - verb;pres;p3;sg,n;sg - verb;inf - verb;pres - verb;imp,C
flames,flaming,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,n;pl - verb;pres;p3;sg,adj; - verb;pprs - verb;subs - verb;ger,C
flame,flames,1_2,V;NFIN,1_0,V;3;SG;PRS,n;sg - verb;inf - verb;pres - verb;imp,n;pl - verb;pres;p3;sg,C
flame,flaming,1_2,V;NFIN,1_3,V;V.PTCP;PRS,n;sg - verb;inf - verb;pres - verb;imp,adj; - verb;pprs - verb;subs - verb;ger,C
flaming,flames,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,adj; - verb;pprs - verb;subs - verb;ger,n;pl - verb;pres;p3;sg,C
flaming,flame,1_3,V;V.PTCP;PRS,1_2,V;NFIN,adj; - verb;pprs - verb;subs - verb;ger,n;sg - verb;inf - verb;pres - verb;imp,C
stores,stored,1_0,V;3;SG;PRS,1_1,V;PST,n;pl - verb;pres;p3;sg,verb;past - verb;pp,C
stores,store,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl - verb;pres;p3;sg,n;sg - verb;inf - verb;pres - verb;imp,C
stores,storing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,n;pl - verb;pres;p3;sg,verb;pprs - verb;subs - verb;ger,C
stored,stores,1_1,V;PST,1_0,V;3;SG;PRS,verb;past - verb;pp,n;pl - verb;pres;p3;sg,C
stored,store,1_1,V;PST,1_2,V;NFIN,verb;past - verb;pp,n;sg - verb;inf - verb;pres - verb;imp,C
stored,storing,1_1,V;PST,1_3,V;V.PTCP;PRS,verb;past - verb;pp,verb;pprs - verb;subs - verb;ger,C
store,stores,1_2,V;NFIN,1_0,V;3;SG;PRS,n;sg - verb;inf - verb;pres - verb;imp,n;pl - verb;pres;p3;sg,C
store,stored,1_2,V;NFIN,1_1,V;PST,n;sg - verb;inf - verb;pres - verb;imp,verb;past - verb;pp,C
store,storing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,n;sg - verb;inf - verb;pres - verb;imp,verb;pprs - verb;subs - verb;ger,C
storing,stores,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,verb;pprs - verb;subs - verb;ger,n;pl - verb;pres;p3;sg,C
storing,stored,1_3,V;V.PTCP;PRS,1_1,V;PST,verb;pprs - verb;subs - verb;ger,verb;past - verb;pp,C
storing,store,1_3,V;V.PTCP;PRS,1_2,V;NFIN,verb;pprs - verb;subs - verb;ger,n;sg - verb;inf - verb;pres - verb;imp,C
bowls,bowl,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl - verb;pres;p3;sg,n;sg - verb;inf - verb;pres - verb;imp,C
bowl,bowls,1_2,V;NFIN,1_0,V;3;SG;PRS,n;sg - verb;inf - verb;pres - verb;imp,n;pl - verb;pres;p3;sg,C
corrupts,corrupted,1_0,V;3;SG;PRS,1_1,V;PST,verb;pres;p3;sg,verb;pp - verb;past,C
corrupts,corrupt,1_0,V;3;SG;PRS,1_2,V;NFIN,verb;pres;p3;sg,adj; - verb;inf - verb;pres - verb;imp,C
corrupted,corrupts,1_1,V;PST,1_0,V;3;SG;PRS,verb;pp - verb;past,verb;pres;p3;sg,C
corrupted,corrupt,1_1,V;PST,1_2,V;NFIN,verb;pp - verb;past,adj; - verb;inf - verb;pres - verb;imp,C
corrupt,corrupts,1_2,V;NFIN,1_0,V;3;SG;PRS,adj; - verb;inf - verb;pres - verb;imp,verb;pres;p3;sg,C
corrupt,corrupted,1_2,V;NFIN,1_1,V;PST,adj; - verb;inf - verb;pres - verb;imp,verb;pp - verb;past,C
sorcerer,sorcery,1_5,N;SG,1_6,ADJ,n;sg,n;sg,PARADIGM_ERROR
sorcery,sorcerer,1_6,ADJ,1_5,N;SG,n;sg,n;sg,PARADIGM_ERROR
evils,evil,1_0,V;3;SG;PRS,1_2,V;NFIN,n;pl,adj; - n;sg,C
evil,evils,1_2,V;NFIN,1_0,V;3;SG;PRS,adj; - n;sg,n;pl,C
spend,spending,1_2,V;NFIN,1_3,V;V.PTCP;PRS,verb;inf - verb;pres - verb;imp,verb;pprs - verb;subs - verb;ger,C
spending,spend,1_3,V;V.PTCP;PRS,1_2,V;NFIN,verb;pprs - verb;subs - verb;ger,verb;inf - verb;pres - verb;imp,C
pushed,pushing,1_1,V;PST,1_3,V;V.PTCP;PRS,verb;pp - verb;past,verb;pprs - verb;subs - verb;ger,C
pushing,pushed,1_3,V;V.PTCP;PRS,1_1,V;PST,verb;pprs - verb;subs - verb;ger,verb;pp - verb;past,C
dragged,dragging,1_1,V;PST,1_3,V;V.PTCP;PRS,verb;past - verb;pp,verb;pprs - verb;subs - verb;ger,C
dragging,dragged,1_3,V;V.PTCP;PRS,1_1,V;PST,verb;pprs - verb;subs - verb;ger,verb;past - verb;pp,C
escorted,escort,1_1,V;PST,1_2,V;NFIN,verb;pp - verb;past,n;sg - verb;inf - verb;pres - verb;imp,C
escort,escorted,1_2,V;NFIN,1_1,V;PST,n;sg - verb;inf - verb;pres - verb;imp,verb;pp - verb;past,C
loads,loaded,1_0,V;3;SG;PRS,1_1,V;PST,n;pl - verb;pres;p3;sg,verb;pp - verb;past - adj;,C
