src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
genginn,gengi,0_2,ADJ;NOM;SG,0_15,V;SBJV;PRS;3;PL,verb;actv;pp;m;sg;nom;sta - verb;actv;pp;m;sg;acc;sta,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;sg;dat;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,ERR_SRC_SLOT_ERROR
kom,komast,0_14,V;IMP;2;SG,0_11,V;IND;PRS;3;PL,verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;imp;p2;sg,verb;midv;inf - verb;midv;pri;p3;pl,C
freistar,freista,1_9,ADJ;NOM;PL,1_14,N;INDF;GEN;PL,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;inf - verb;actv;pri;p1;sg - verb;actv;pri;p3;pl - verb;actv;imp;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
sættist,sættast,0_7,V;SBJV;PRS;1;SG,0_11,V;IND;PRS;3;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
varðveiti,varðveitast,0_15,V;SBJV;PRS;3;PL,0_11,V;IND;PRS;3;PL,verb;actv;pri;p1;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl,verb;midv;inf - verb;midv;pri;p3;pl,ERR_SRC_SLOT_ERROR
góðir,góð,1_4,V;IND;PST;2;SG,1_0,N;INDF;ACC;SG,adj;pst;m;pl;nom;sta,adj;pst;f;sg;nom;sta - adj;pst;nt;pl;nom;sta - adj;pst;nt;pl;acc;sta,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
hvílíks,hvílíkan,1_13,PRN;INDF;GEN;SG,1_3,ADJ;ACC;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
máttur,máttinn,1_12,V.PTCP;PST;NOM;SG,1_5,N;DEF;ACC;SG,n;m;sg;nom;ind,n;m;sg;acc;def,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
þorpa,þorp,1_14,N;INDF;GEN;PL,1_0,N;INDF;ACC;SG,n;nt;pl;gen;ind,n;nt;sg;nom;ind - n;nt;sg;acc;ind - n;nt;pl;nom;ind - n;nt;pl;acc;ind,ERR_SRC_SLOT_ERROR
lastmæltu,lastmæli,0_4,V;IND;PST;3;PL,0_15,V;SBJV;PRS;3;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
treystu,treysti,1_17,N;INDF;GEN;SG,1_7,N;INDF;DAT;SG,verb;actv;past;p3;pl - verb;actv;pss;p3;pl - verb;actv;imp;p2;sg,verb;actv;pri;p1;sg - verb;actv;past;p1;sg - verb;actv;past;p3;sg - verb;actv;prs;p1;sg - verb;actv;prs;p3;sg - verb;actv;prs;p3;pl - verb;actv;pss;p1;sg - verb;actv;pss;p3;sg,ERR_TGT_SLOT_ERROR
rannsakið,rannsakar,1_15,V;IMP;2;PL,1_9,ADJ;NOM;PL,verb;actv;pri;p2;pl - verb;actv;prs;p2;pl - verb;actv;imp;p2;pl,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
staður,stað,1_12,V.PTCP;PST;NOM;SG,1_0,N;INDF;ACC;SG,n;m;sg;nom;ind,n;m;sg;acc;ind - n;m;sg;dat;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kemur,kem,0_16,V;IND;PRS;2;SG,0_14,V;IMP;2;SG,verb;actv;pri;p2;sg - verb;actv;pri;p3;sg,verb;actv;pri;p1;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
