inwendig	inwendige	N;NOM;SG	V;SBJV;PRS;1;SG
inwendig	inwendigen	N;NOM;SG	N;DAT;PL
inwendige	inwendig	V;SBJV;PRS;1;SG	N;NOM;SG
inwendige	inwendigen	V;SBJV;PRS;1;SG	N;DAT;PL
inwendigen	inwendig	N;DAT;PL	N;NOM;SG
inwendigen	inwendige	N;DAT;PL	V;SBJV;PRS;1;SG
Eben	Eber	N;DAT;PL	ADJ;GEN;SG
Eber	Eben	ADJ;GEN;SG	N;DAT;PL
Drache	Drachen	V;SBJV;PRS;1;SG	N;DAT;PL
Drachen	Drache	N;DAT;PL	V;SBJV;PRS;1;SG
beschnitt	beschnitten	N;NOM;SG	N;DAT;PL
beschnitten	beschnitt	N;DAT;PL	N;NOM;SG
schön	schöne	N;NOM;SG	V;SBJV;PRS;1;SG
schön	schöner	N;NOM;SG	ADJ;GEN;SG
schön	schönen	N;NOM;SG	N;DAT;PL
schön	schönes	N;NOM;SG	ADJ;ACC;SG
schöne	schön	V;SBJV;PRS;1;SG	N;NOM;SG
schöne	schöner	V;SBJV;PRS;1;SG	ADJ;GEN;SG
schöne	schönen	V;SBJV;PRS;1;SG	N;DAT;PL
schöne	schönes	V;SBJV;PRS;1;SG	ADJ;ACC;SG
schöner	schön	ADJ;GEN;SG	N;NOM;SG
schöner	schöne	ADJ;GEN;SG	V;SBJV;PRS;1;SG
schöner	schönen	ADJ;GEN;SG	N;DAT;PL
schöner	schönes	ADJ;GEN;SG	ADJ;ACC;SG
schönen	schön	N;DAT;PL	N;NOM;SG
schönen	schöne	N;DAT;PL	V;SBJV;PRS;1;SG
schönen	schöner	N;DAT;PL	ADJ;GEN;SG
schönen	schönes	N;DAT;PL	ADJ;ACC;SG
schönes	schön	ADJ;ACC;SG	N;NOM;SG
schönes	schöne	ADJ;ACC;SG	V;SBJV;PRS;1;SG
schönes	schöner	ADJ;ACC;SG	ADJ;GEN;SG
schönes	schönen	ADJ;ACC;SG	N;DAT;PL
behandeln	behandelt	N;DAT;PL	V;IND;PRS;2;PL
