krefja	krefst	PRN;INDF;ACC;PL	V;IND;PRS;1;SG
krefst	krefja	V;IND;PRS;1;SG	PRN;INDF;ACC;PL
saklaus	saklausa	V;IMP;2;SG	V;NFIN
saklaus	saklaust	V;IMP;2;SG	V.PTCP;PST;ACC;SG
saklausa	saklaus	V;NFIN	V;IMP;2;SG
saklausa	saklaust	V;NFIN	V.PTCP;PST;ACC;SG
saklaust	saklaus	V.PTCP;PST;ACC;SG	V;IMP;2;SG
saklaust	saklausa	V.PTCP;PST;ACC;SG	V;NFIN
syni	synir	V;SBJV;PRS;3;PL	V;SBJV;PRS;2;SG
syni	synja	V;SBJV;PRS;3;PL	PRN;INDF;ACC;PL
synir	syni	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL
synir	synja	V;SBJV;PRS;2;SG	PRN;INDF;ACC;PL
synja	syni	PRN;INDF;ACC;PL	V;SBJV;PRS;3;PL
synja	synir	PRN;INDF;ACC;PL	V;SBJV;PRS;2;SG
Vakið	Vakna	V;IND;PRS;2;PL	V.PTCP;PST;GEN;SG
Vakna	Vakið	V.PTCP;PST;GEN;SG	V;IND;PRS;2;PL
tamast	tamist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG
tamast	tamið	V;IND;PRS;3;PL	V;IND;PRS;2;PL
tamist	tamast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL
tamist	tamið	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL
tamið	tamast	V;IND;PRS;2;PL	V;IND;PRS;3;PL
tamið	tamist	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG
útlagt	útlagði	V.PTCP;PST;ACC;SG	V;SBJV;PST;1;SG
útlagði	útlagt	V;SBJV;PST;1;SG	V.PTCP;PST;ACC;SG
húðstrýki	húðstrýkja	V;SBJV;PRS;3;PL	PRN;INDF;ACC;PL
húðstrýki	húðstrýktu	V;SBJV;PRS;3;PL	V;IND;PST;3;PL
húðstrýkja	húðstrýki	PRN;INDF;ACC;PL	V;SBJV;PRS;3;PL
húðstrýkja	húðstrýktu	PRN;INDF;ACC;PL	V;IND;PST;3;PL
húðstrýktu	húðstrýki	V;IND;PST;3;PL	V;SBJV;PRS;3;PL
húðstrýktu	húðstrýkja	V;IND;PST;3;PL	PRN;INDF;ACC;PL
hala	halt	V;NFIN	V.PTCP;PST;ACC;SG
hala	haltu	V;NFIN	V;IND;PST;3;PL
halt	hala	V.PTCP;PST;ACC;SG	V;NFIN
halt	haltu	V.PTCP;PST;ACC;SG	V;IND;PST;3;PL
haltu	hala	V;IND;PST;3;PL	V;NFIN
haltu	halt	V;IND;PST;3;PL	V.PTCP;PST;ACC;SG
smurði	smurðu	V;SBJV;PST;1;SG	V.PTCP;PST;DAT;PL
smurði	smurt	V;SBJV;PST;1;SG	V.PTCP;PST;ACC;SG
smurðu	smurði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG
smurðu	smurt	V.PTCP;PST;DAT;PL	V.PTCP;PST;ACC;SG
smurt	smurði	V.PTCP;PST;ACC;SG	V;SBJV;PST;1;SG
smurt	smurðu	V.PTCP;PST;ACC;SG	V.PTCP;PST;DAT;PL
hyrningarsteini	hyrningarsteinn	V;SBJV;PRS;3;PL	PRN;INDF;ACC;SG
hyrningarsteinn	hyrningarsteini	PRN;INDF;ACC;SG	V;SBJV;PRS;3;PL
dvelst	dvelur	V;IND;PRS;1;SG	V;IND;PRS;2;SG
dvelur	dvelst	V;IND;PRS;2;SG	V;IND;PRS;1;SG
háð	háði	N;INDF;NOM;SG	V;SBJV;PST;1;SG
háð	háir	N;INDF;NOM;SG	V;SBJV;PRS;2;SG
háð	háum	N;INDF;NOM;SG	V;SBJV;PRS;1;PL
háði	háð	V;SBJV;PST;1;SG	N;INDF;NOM;SG
háði	háir	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG
háði	háum	V;SBJV;PST;1;SG	V;SBJV;PRS;1;PL
háir	háð	V;SBJV;PRS;2;SG	N;INDF;NOM;SG
háir	háði	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG
háir	háum	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;PL
háum	háð	V;SBJV;PRS;1;PL	N;INDF;NOM;SG
háum	háði	V;SBJV;PRS;1;PL	V;SBJV;PST;1;SG
háum	háir	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG
lyftir	lyftið	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL
lyftið	lyftir	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG
kröftugi	kröftugt	V;SBJV;PRS;3;PL	V.PTCP;PST;ACC;SG
kröftugt	kröftugi	V.PTCP;PST;ACC;SG	V;SBJV;PRS;3;PL
treðst	treður	V;IND;PRS;1;SG	V;IND;PRS;2;SG
treður	treðst	V;IND;PRS;2;SG	V;IND;PRS;1;SG
haf	hafna	V;IMP;2;SG	V.PTCP;PST;GEN;SG
haf	hafi	V;IMP;2;SG	V;SBJV;PRS;3;PL
haf	hafin	V;IMP;2;SG	ADJ;ACC;PL
haf	hafinn	V;IMP;2;SG	ADJ;NOM;SG
haf	hafir	V;IMP;2;SG	V;SBJV;PRS;2;SG
haf	hafið	V;IMP;2;SG	V;IND;PRS;2;PL
haf	hafðu	V;IMP;2;SG	V.PTCP;PST;DAT;PL
haf	hafði	V;IMP;2;SG	V;SBJV;PST;1;SG
haf	haft	V;IMP;2;SG	V.PTCP;PST;ACC;SG
haf	hafa	V;IMP;2;SG	V;NFIN
hafna	haf	V.PTCP;PST;GEN;SG	V;IMP;2;SG
hafna	hafi	V.PTCP;PST;GEN;SG	V;SBJV;PRS;3;PL
hafna	hafin	V.PTCP;PST;GEN;SG	ADJ;ACC;PL
hafna	hafinn	V.PTCP;PST;GEN;SG	ADJ;NOM;SG
hafna	hafir	V.PTCP;PST;GEN;SG	V;SBJV;PRS;2;SG
hafna	hafið	V.PTCP;PST;GEN;SG	V;IND;PRS;2;PL
hafna	hafðu	V.PTCP;PST;GEN;SG	V.PTCP;PST;DAT;PL
hafna	hafði	V.PTCP;PST;GEN;SG	V;SBJV;PST;1;SG
hafna	haft	V.PTCP;PST;GEN;SG	V.PTCP;PST;ACC;SG
hafna	hafa	V.PTCP;PST;GEN;SG	V;NFIN
hafi	haf	V;SBJV;PRS;3;PL	V;IMP;2;SG
hafi	hafna	V;SBJV;PRS;3;PL	V.PTCP;PST;GEN;SG
hafi	hafin	V;SBJV;PRS;3;PL	ADJ;ACC;PL
hafi	hafinn	V;SBJV;PRS;3;PL	ADJ;NOM;SG
hafi	hafir	V;SBJV;PRS;3;PL	V;SBJV;PRS;2;SG
hafi	hafið	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL
hafi	hafðu	V;SBJV;PRS;3;PL	V.PTCP;PST;DAT;PL
hafi	hafði	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG
hafi	haft	V;SBJV;PRS;3;PL	V.PTCP;PST;ACC;SG
hafi	hafa	V;SBJV;PRS;3;PL	V;NFIN
hafin	haf	ADJ;ACC;PL	V;IMP;2;SG
hafin	hafna	ADJ;ACC;PL	V.PTCP;PST;GEN;SG
hafin	hafi	ADJ;ACC;PL	V;SBJV;PRS;3;PL
hafin	hafinn	ADJ;ACC;PL	ADJ;NOM;SG
hafin	hafir	ADJ;ACC;PL	V;SBJV;PRS;2;SG
hafin	hafið	ADJ;ACC;PL	V;IND;PRS;2;PL
hafin	hafðu	ADJ;ACC;PL	V.PTCP;PST;DAT;PL
hafin	hafði	ADJ;ACC;PL	V;SBJV;PST;1;SG
hafin	haft	ADJ;ACC;PL	V.PTCP;PST;ACC;SG
hafin	hafa	ADJ;ACC;PL	V;NFIN
hafinn	haf	ADJ;NOM;SG	V;IMP;2;SG
hafinn	hafna	ADJ;NOM;SG	V.PTCP;PST;GEN;SG
hafinn	hafi	ADJ;NOM;SG	V;SBJV;PRS;3;PL
hafinn	hafin	ADJ;NOM;SG	ADJ;ACC;PL
hafinn	hafir	ADJ;NOM;SG	V;SBJV;PRS;2;SG
hafinn	hafið	ADJ;NOM;SG	V;IND;PRS;2;PL
hafinn	hafðu	ADJ;NOM;SG	V.PTCP;PST;DAT;PL
hafinn	hafði	ADJ;NOM;SG	V;SBJV;PST;1;SG
hafinn	haft	ADJ;NOM;SG	V.PTCP;PST;ACC;SG
hafinn	hafa	ADJ;NOM;SG	V;NFIN
hafir	haf	V;SBJV;PRS;2;SG	V;IMP;2;SG
hafir	hafna	V;SBJV;PRS;2;SG	V.PTCP;PST;GEN;SG
hafir	hafi	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL
hafir	hafin	V;SBJV;PRS;2;SG	ADJ;ACC;PL
hafir	hafinn	V;SBJV;PRS;2;SG	ADJ;NOM;SG
hafir	hafið	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL
hafir	hafðu	V;SBJV;PRS;2;SG	V.PTCP;PST;DAT;PL
hafir	hafði	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG
hafir	haft	V;SBJV;PRS;2;SG	V.PTCP;PST;ACC;SG
hafir	hafa	V;SBJV;PRS;2;SG	V;NFIN
hafið	haf	V;IND;PRS;2;PL	V;IMP;2;SG
hafið	hafna	V;IND;PRS;2;PL	V.PTCP;PST;GEN;SG
hafið	hafi	V;IND;PRS;2;PL	V;SBJV;PRS;3;PL
hafið	hafin	V;IND;PRS;2;PL	ADJ;ACC;PL
hafið	hafinn	V;IND;PRS;2;PL	ADJ;NOM;SG
hafið	hafir	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG
hafið	hafðu	V;IND;PRS;2;PL	V.PTCP;PST;DAT;PL
hafið	hafði	V;IND;PRS;2;PL	V;SBJV;PST;1;SG
hafið	haft	V;IND;PRS;2;PL	V.PTCP;PST;ACC;SG
hafið	hafa	V;IND;PRS;2;PL	V;NFIN
hafðu	haf	V.PTCP;PST;DAT;PL	V;IMP;2;SG
hafðu	hafna	V.PTCP;PST;DAT;PL	V.PTCP;PST;GEN;SG
hafðu	hafi	V.PTCP;PST;DAT;PL	V;SBJV;PRS;3;PL
hafðu	hafin	V.PTCP;PST;DAT;PL	ADJ;ACC;PL
