src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
tage,taget,2_0,N;INDF;NOM;SG,2_9,ADJ;DEF;SPRL
tillsätta,tillsättas,1_2,V;ACT;NFIN,1_12,V;PASS;NFIN
palats,palatsen,2_0,N;INDF;NOM;SG,2_1,N;DEF;NOM;SG
framställ,framställde,1_6,ADJ;INDF;MASC+FEM;SG,1_1,ADJ;DEF;MASC;SG
seraferna,serafer,2_3,ADJ;INDF;MASC;SG;COMPV,2_5,N;INDF;NOM;PL
lång,långt,1_6,ADJ;INDF;MASC+FEM;SG,1_9,ADJ;INDF;NEUT;SG
otålig,otåligt,1_6,ADJ;INDF;MASC+FEM;SG,1_9,ADJ;INDF;NEUT;SG
aktar,aktas,0_12,V;ACT;IND;PRS,0_5,V;PASS;IND;PRS
bommar,bommen,0_12,V;ACT;IND;PRS,0_2,?
bidade,biden,0_11,V;ACT;IND;PST,0_2,?
ringen,ring,0_2,?,0_0,ADJ;DEF;COMPV
lätt,lät,1_9,ADJ;INDF;NEUT;SG,1_6,ADJ;INDF;MASC+FEM;SG
ahi,ahia,1_6,ADJ;INDF;MASC+FEM;SG,1_2,V;ACT;NFIN
behövdes,behöves,1_7,?,1_8,N;DEF;GEN;PL
andar,andarna,0_12,V;ACT;IND;PRS,0_10,N;DEF;NOM;PL
uppfylle,uppfylles,1_0,ADJ;DEF;MASC;SG;SPRL,1_8,N;DEF;GEN;PL
avslutat,avslutad,1_9,ADJ;INDF;NEUT;SG,1_0,ADJ;DEF;MASC;SG;SPRL
offerdjur,offerdjurs,2_0,N;INDF;NOM;SG,2_2,N;INDF;GEN;SG
datan,datans,2_0,N;INDF;NOM;SG,2_2,N;INDF;GEN;SG
överlämnar,överlämnat,0_12,V;ACT;IND;PRS,0_13,V.CVB;ACT
bindes,bind,1_8,N;DEF;GEN;PL,1_6,ADJ;INDF;MASC+FEM;SG
skuren,skur,2_1,N;DEF;NOM;SG,2_0,N;INDF;NOM;SG
prisade,priset,0_11,V;ACT;IND;PST,0_3,ADJ;INDF;MASC+FEM;SG;SPRL
dricka,dricker,2_10,?,2_5,N;INDF;NOM;PL
utvalde,utvald,1_0,ADJ;DEF;MASC;SG;SPRL,1_6,ADJ;INDF;MASC+FEM;SG
förseglet,förseglat,0_3,ADJ;INDF;MASC+FEM;SG;SPRL,0_13,V.CVB;ACT
överhet,överheten,2_0,N;INDF;NOM;SG,2_1,N;DEF;NOM;SG
skriven,skrivet,2_1,N;DEF;NOM;SG,2_9,ADJ;DEF;SPRL
öppnade,öppnat,0_11,V;ACT;IND;PST,0_13,V.CVB;ACT
utropar,utropade,0_12,V;ACT;IND;PRS,0_11,V;ACT;IND;PST
räknade,räknen,0_11,V;ACT;IND;PST,0_2,?
