src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation
rooms,room,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR
room,rooms,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR
hairs,hair,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR
hair,hairs,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR
whispered,whispering,1_1,V;PST,1_3,V;V.PTCP;PRS,C
whispering,whispered,1_3,V;V.PTCP;PRS,1_1,V;PST,C
sums,sum,1_0,V;3;SG;PRS,1_2,V;NFIN,C
sum,sums,1_2,V;NFIN,1_0,V;3;SG;PRS,C
galileans,galilean,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR
galilean,galileans,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR
looks,looked,1_0,V;3;SG;PRS,1_1,V;PST,C
looks,look,1_0,V;3;SG;PRS,1_2,V;NFIN,C
looks,looking,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
looked,looks,1_1,V;PST,1_0,V;3;SG;PRS,C
looked,look,1_1,V;PST,1_2,V;NFIN,C
looked,looking,1_1,V;PST,1_3,V;V.PTCP;PRS,C
look,looks,1_2,V;NFIN,1_0,V;3;SG;PRS,C
look,looked,1_2,V;NFIN,1_1,V;PST,C
look,looking,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
looking,looks,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
looking,looked,1_3,V;V.PTCP;PRS,1_1,V;PST,C
looking,look,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
flames,flame,1_0,V;3;SG;PRS,1_2,V;NFIN,C
flames,flaming,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
flame,flames,1_2,V;NFIN,1_0,V;3;SG;PRS,C
flame,flaming,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
flaming,flames,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
flaming,flame,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C
stores,stored,1_0,V;3;SG;PRS,1_1,V;PST,C
stores,store,1_0,V;3;SG;PRS,1_2,V;NFIN,C
stores,storing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C
stored,stores,1_1,V;PST,1_0,V;3;SG;PRS,C
stored,store,1_1,V;PST,1_2,V;NFIN,C
stored,storing,1_1,V;PST,1_3,V;V.PTCP;PRS,C
store,stores,1_2,V;NFIN,1_0,V;3;SG;PRS,C
store,stored,1_2,V;NFIN,1_1,V;PST,C
store,storing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C
storing,stores,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C
storing,stored,1_3,V;V.PTCP;PRS,1_1,V;PST,C
