src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
varst,vara,1_15,?,1_9,V;IND;PRS;3;PL
eldi,eldurinn,2_15,N;INDF;DAT;SG,2_4,?
fullum,fullar,0_6,V;IND;PRS;1;PL,0_10,V.PTCP;PRS
biður,biðst,1_6,?,1_15,?
vonar,vonum,4_8,N;INDF;NOM;PL,4_5,N;INDF;DAT;PL
þjóðir,þjóðina,4_12,?,4_9,?
óður,óð,0_3,V;IND;PRS;3;SG,0_13,V;IND;PST;3;SG
gestur,gestina,4_4,?,4_9,?
klippa,klippir,0_5,V;NFIN,0_4,V;SBJV;PST;2;SG
inna,innan,0_5,V;NFIN,0_2,V;SBJV;PST;1;PL
kalla,kallar,1_9,V;IND;PRS;3;PL,1_17,V;IND;PRS;2;SG
stundin,stundina,4_11,N;DEF;NOM;PL,4_9,?
helgidómurinn,helgidóma,2_4,?,2_2,N;INDF;ACC;PL
hyggi,hyggja,1_16,V;SBJV;PRS;3;PL,1_2,?
skjóti,skjótur,1_16,V;SBJV;PRS;3;PL,1_6,?
þoli,þolinn,1_16,V;SBJV;PRS;3;PL,1_14,?
þistlum,þistla,0_6,V;IND;PRS;1;PL,0_5,V;NFIN
hyggist,hyggið,1_11,V;IND;PRS;2;PL,1_12,V;IMP;2;PL
fótum,fóta,4_5,N;INDF;DAT;PL,4_2,N;INDF;GEN;PL
vant,vana,0_12,?,0_5,V;NFIN
stundin,stundir,4_11,N;DEF;NOM;PL,4_12,?
réttinn,réttur,1_14,?,1_6,?
boða,boðin,1_9,V;IND;PRS;3;PL,1_7,?
varðforinginn,varðforingja,1_14,?,1_2,?
ritum,ritar,1_13,V;SBJV;PRS;1;PL,1_17,V;IND;PRS;2;SG
náðina,náði,4_9,?,4_14,V;SBJV;PRS;3;SG
ofsóttu,ofsótt,0_9,V;IND;PST;3;PL,0_13,V;IND;PST;3;SG
klettur,kletturinn,2_9,?,2_4,?
frelsað,frelsið,1_0,?,1_12,V;IMP;2;PL
iðjulausar,iðjulausir,1_17,V;IND;PRS;2;SG,1_4,V;SBJV;PRS;2;SG
táknin,tákni,2_14,N;DEF;ACC;PL,2_15,N;INDF;DAT;SG
borgina,borga,4_9,?,4_2,N;INDF;GEN;PL
þessir,þess,0_4,V;SBJV;PST;2;SG,0_13,V;IND;PST;3;SG
þvost,þvoði,3_14,V;IND;PST;2;SG,3_11,V;IND;PST;1;SG
