src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
нарушен,нарушиться,3_28,V.PTCP;MASC;SG;LGSPEC1,3_20,V.PTCP;NOM;FEM;SG
котлом,котлу,2_14,N;INS;SG,2_20,N;DAT;SG
равниною,равнин,2_22,?,2_7,N;NOM;SG
жилищам,жилище,2_15,N;DAT;PL,2_6,N;ESS;SG
жертвеннике,жертвенников,2_6,N;ESS;SG,2_4,N;GEN;PL
утешился,утешает,3_21,V.PTCP;INAN;ACC;MASC;SG,3_27,?
холмов,холм,2_4,N;GEN;PL,2_7,N;NOM;SG
розга,розги,2_17,N;GEN;SG,2_0,N;NOM;PL
пороки,пороками,2_0,N;NOM;PL,2_18,N;INS;PL
угождении,угождение,3_16,V.PTCP;ACC;ANIM;PL,3_1,N;ACC;SG
титу,тита,2_20,N;DAT;SG,2_17,N;GEN;SG
ночей,ночное,1_22,ADJ;GEN;FEM;SG,1_8,ADJ;NOM;NEUT;SG
раздавить,раздавал,3_10,?,3_7,V.PTCP;GEN;MASC;SG
умышляли,умышляют,0_17,V;PST;PL,0_12,?
сокрытыми,сокрытое,2_19,ADJ;INS;PL,2_5,ADJ;ACC;NEUT;SG
идут,идете,0_13,?,0_5,V;PRS;2;PL
ноеминь,ноеминью,4_15,N;ACC;INAN;SG,4_13,V.PTCP;INS;MASC;SG
свидетелей,свидетелем,4_14,?,4_5,V.PTCP;DAT;MASC;SG
извини,извинения,3_13,V;IMP;2;SG,3_2,N;ACC;PL
которой,которых,2_13,ADJ;ESS;FEM;SG,2_3,ADJ;GEN;PL
немалое,немалую,2_5,ADJ;ACC;NEUT;SG,2_11,ADJ;ACC;FEM;SG
приходят,приходить,3_24,V;FUT;3;PL,3_10,?
расставляется,расставляют,0_9,V.PTCP;PASS;PST,0_12,?
буйволы,буйвол,2_0,N;NOM;PL,2_7,N;NOM;SG
истребляю,истребляла,0_1,V;PRS;1;SG,0_16,V;PST;SG;FEM
расположили,расположен,3_14,?,3_28,V.PTCP;MASC;SG;LGSPEC1
снедение,снедает,3_1,N;ACC;SG,3_27,?
камням,камней,4_12,N;ACC;ANIM;PL,4_14,?
сверкают,сверкали,0_12,?,0_17,V;PST;PL
полу,полей,1_9,?,1_22,ADJ;GEN;FEM;SG
разумом,разумно,1_20,?,1_33,N;ACC;INAN;PL
умножайте,умножил,3_8,V.PTCP;GEN;PL,3_30,V;PST;SG;MASC
отвращая,отвращу,3_4,?,3_0,V;FUT;1;SG
живую,живое,2_11,ADJ;ACC;FEM;SG,2_5,ADJ;ACC;NEUT;SG
передайте,передай,3_8,V.PTCP;GEN;PL,3_17,V.PTCP;DAT;NEUT;SG
листры,листру,2_0,N;NOM;PL,2_20,N;DAT;SG
спроси,спросите,3_13,V;IMP;2;SG,3_26,V;FUT;2;PL
каафу,каафов,2_20,N;DAT;SG,2_4,N;GEN;PL
благоразумно,благоразумии,1_33,N;ACC;INAN;PL,1_12,?
гивы,гиве,2_0,N;NOM;PL,2_6,N;ESS;SG
приготовим,приготовят,3_15,V;FUT;1;PL,3_24,V;FUT;3;PL
кропить,кропили,3_10,?,3_14,?
буйвола,буйвол,2_17,N;GEN;SG,2_7,N;NOM;SG
первородными,первородный,2_19,ADJ;INS;PL,2_9,ADJ;INAN;ACC;MASC;SG
обложен,обложил,3_28,V.PTCP;MASC;SG;LGSPEC1,3_30,V;PST;SG;MASC
желаете,желал,0_5,V;PRS;2;PL,0_8,?
лукавые,лукавое,2_1,ADJ;ACC;INAN;PL,2_5,ADJ;ACC;NEUT;SG
святыми,святой,2_19,ADJ;INS;PL,2_13,ADJ;ESS;FEM;SG
удерживаются,удерживался,0_18,V.PTCP;NOM;PL,0_11,?
делали,делит,3_31,?,3_9,V;FUT;3;SG
поверят,поверил,3_24,V;FUT;3;PL,3_30,V;PST;SG;MASC
порочный,порочные,1_13,ADJ;NOM;MASC;SG,1_11,ADJ;NOM;PL
кресту,крестить,3_0,V;FUT;1;SG,3_10,?
переходи,переходишь,3_13,V;IMP;2;SG,3_11,V;FUT;2;SG
покорено,покориться,3_5,V.PTCP;NEUT;SG;LGSPEC1,3_20,V.PTCP;NOM;FEM;SG
исполняющий,исполняй,0_3,V.PTCP;ACT;PRS,0_0,?
взывать,взывай,0_21,V;NFIN,0_0,?
власта,властей,1_29,?,1_22,ADJ;GEN;FEM;SG
отступите,отступи,3_26,V;FUT;2;PL,3_13,V;IMP;2;SG
томиться,томил,3_20,V.PTCP;NOM;FEM;SG,3_30,V;PST;SG;MASC
полевой,полевым,2_13,ADJ;ESS;FEM;SG,2_16,ADJ;DAT;PL
святого,святой,2_8,ADJ;ANIM;ACC;MASC;SG,2_13,ADJ;ESS;FEM;SG
золотую,золотою,2_11,ADJ;ACC;FEM;SG,2_22,?
литься,лились,0_25,V.PTCP;INS;PL,0_24,?
доходила,доходили,3_6,?,3_14,?
безумным,безумно,1_5,ADJ;INS;NEUT;SG,1_33,N;ACC;INAN;PL
емафе,емафу,2_6,N;ESS;SG,2_20,N;DAT;SG
небесной,небесное,1_25,ADJ;DAT;FEM;SG,1_8,ADJ;NOM;NEUT;SG
называющий,называть,0_3,V.PTCP;ACT;PRS,0_21,V;NFIN
иецера,иецер,2_17,N;GEN;SG,2_7,N;NOM;SG
знатного,знатных,2_8,ADJ;ANIM;ACC;MASC;SG,2_3,ADJ;GEN;PL
островов,острове,2_4,N;GEN;PL,2_6,N;ESS;SG
умертвила,умертвили,3_6,?,3_14,?
красивая,красивым,2_2,ADJ;NOM;FEM;SG,2_16,ADJ;DAT;PL
одолеем,одолев,0_14,V;PRS;1;PL,0_20,V.CVB;PST
действуй,действуем,0_0,?,0_14,V;PRS;1;PL
дорогую,дорогой,2_11,ADJ;ACC;FEM;SG,2_13,ADJ;ESS;FEM;SG
пронесется,пронес,0_9,V.PTCP;PASS;PST,0_2,V.CVB;PRS
восемнадцатым,восемнадцати,2_16,ADJ;DAT;PL,2_0,N;NOM;PL
обоняют,обонял,0_12,?,0_8,?
убийцу,убийца,2_20,N;DAT;SG,2_17,N;GEN;SG
поставили,поставится,3_14,?,3_18,?
вина,вином,2_17,N;GEN;SG,2_14,N;INS;SG
обычаю,обычай,4_9,V.PTCP;INS;NEUT;SG,4_2,ADJ;INS;FEM;SG
письмом,письмами,2_14,N;INS;SG,2_18,N;INS;PL
козлах,козлом,2_10,N;ESS;PL,2_14,N;INS;SG
умыслы,умысла,2_0,N;NOM;PL,2_17,N;GEN;SG
обвинят,обвинить,3_24,V;FUT;3;PL,3_10,?
укрепит,укрепи,3_9,V;FUT;3;SG,3_13,V;IMP;2;SG
необрезан,необрезанным,1_0,V.PTCP;DAT;FEM;SG,1_5,ADJ;INS;NEUT;SG
срамит,срамное,1_32,V.PTCP;NOM;MASC;SG,1_8,ADJ;NOM;NEUT;SG
посылаемым,посылаемого,2_16,ADJ;DAT;PL,2_8,ADJ;ANIM;ACC;MASC;SG
грешный,грешных,1_13,ADJ;NOM;MASC;SG,1_7,ADJ;ESS;PL
успокаивает,успокаивается,0_28,V;PRS;3;SG,0_9,V.PTCP;PASS;PST
кидарова,кидары,2_12,?,2_0,N;NOM;PL
необычайными,необычайное,2_19,ADJ;INS;PL,2_5,ADJ;ACC;NEUT;SG
удержишь,удержится,3_11,V;FUT;2;SG,3_18,?
годах,годная,1_10,?,1_2,?
местах,месту,2_10,N;ESS;PL,2_20,N;DAT;SG
новая,новах,2_2,ADJ;NOM;FEM;SG,2_10,N;ESS;PL
вдову,вдовою,2_20,N;DAT;SG,2_22,?
