нарушен,нарушиться,0_24,0_20
котлом,котлу,2_14,2_19
равниною,равнин,2_4,2_18
жилищам,жилище,2_11,2_0
жертвеннике,жертвенников,2_0,2_1
утешился,утешает,0_18,0_14
холмов,холм,2_1,2_18
розга,розги,2_6,2_3
пороки,пороками,2_3,2_17
угождении,угождение,0_5,0_7
Тит,Тита,2_18,2_6
ночные,ночное,0_21,0_3
раздавить,раздавал,0_31,0_4
умышляли,умышляют,1_6,1_0
пропустил,пропустил,1_4,1_4
идут,идете,1_0,1_19
Ноеминь,Ноемини,1_1,1_22
свидетелей,свидетелем,1_18,1_13
извини,извинения,0_1,0_11
которой,которых,2_2,2_1
немалое,немалую,2_15,2_13
приходят,приходить,0_29,0_31
расставляется,расставляют,1_12,1_0
буйволы,буйвол,2_3,2_18
рубин,рубинами,2_18,2_17
расположили,расположен,0_0,0_24
снедение,снедает,0_7,0_14
камням,камней,1_11,1_18
сверкают,сверкали,1_0,1_6
полу,полу,0_23,0_23
ослабевайте,ослабевал,1_5,1_4
умножает,умножил,0_14,0_4
отвращает,отвращу,0_14,0_23
живую,живое,2_13,2_15
войском,войском,2_14,2_14
Листры,Листру,2_3,2_19
спроси,спросите,0_1,0_6
Каафу,Каафов,2_19,2_1
служба,служба,2_6,2_6
Гивы,Гиве,2_3,2_0
приготовим,приготовят,0_17,0_29
кропить,кропили,0_31,0_0
буйвола,буйвол,2_6,2_18
первородных,первородный,0_19,0_12
обложен,обложил,0_24,0_4
желаете,желал,1_19,1_4
лукавые,лукавое,2_8,2_15
свята,святой,2_6,2_2
огорчать,огорчении,0_22,0_5
делали,делит,0_0,0_16
поверят,поверил,0_29,0_4
порочный,порочные,0_12,0_21
кресту,крестить,0_23,0_31
переходи,переходишь,0_1,0_15
покорные,покориться,0_21,0_20
исполняющий,исполняй,1_21,1_1
взывать,взывай,1_14,1_1
властей,властей,1_18,1_18
отступите,отступи,0_6,0_1
томиться,томил,0_20,0_4
полевой,полевым,2_2,2_16
святого,святой,2_7,2_2
золотую,золотою,2_13,2_4
литься,лились,0_20,0_25
доходила,доходили,0_9,0_0
безумным,безумен,0_28,0_24
Емафе,Емафу,2_0,2_19
Небеса,Небесное,0_13,0_3
называющий,называть,1_21,1_14
Иецера,Иецер,2_6,2_18
знатного,знатных,2_7,2_1
островов,острове,2_1,2_0
умертвила,умертвили,0_9,0_0
красивая,красивым,2_9,2_16
одолев,одолев,0_26,0_26
действуй,действуем,1_1,1_13
дорогую,дорогой,2_13,2_2
пронесется,пронес,1_12,1_1
восемнадцатым,восемнадцати,2_16,2_3
обоняют,обонял,1_0,1_4
убийцу,убийца,2_19,2_6
поставили,поставится,0_0,0_8
вина,вином,2_6,2_14
обычаю,обычай,1_2,1_1
письмом,письмами,2_14,2_17
козлах,козлом,2_10,2_14
умыслы,умысла,2_3,2_6
обвинят,обвинить,0_29,0_31
укрепит,укрепи,0_16,0_1
необрезан,необрезанным,0_26,0_28
срамит,срамное,0_16,0_3
горестями,горесть,1_7,1_1
грешный,грешных,0_12,0_19
успокаивает,успокаивается,1_3,1_12
кидар,кидары,2_18,2_3
необычайно,необычайное,2_18,2_0
удержишь,удержится,0_15,0_8
