src word,tgt word,src slot,tgt slot
krefja,krefja,0_6,0_6
krefja,krefst,0_6,0_12
krefst,krefja,0_12,0_6
krefst,krefst,0_12,0_12
saklaus,saklaus,0_14,0_14
saklaus,saklausa,0_14,0_20
saklaus,saklaust,0_14,0_17
saklausa,saklaus,0_20,0_14
saklausa,saklausa,0_20,0_20
saklausa,saklaust,0_20,0_17
saklaust,saklaus,0_17,0_14
saklaust,saklausa,0_17,0_20
saklaust,saklaust,0_17,0_17
syni,syni,0_15,0_15
syni,synir,0_15,0_8
syni,synja,0_15,0_6
synir,syni,0_8,0_15
synir,synir,0_8,0_8
synir,synja,0_8,0_6
synja,syni,0_6,0_15
synja,synir,0_6,0_8
synja,synja,0_6,0_6
Vakið,Vakið,0_19,0_19
Vakið,Vakna,0_19,0_21
Vakna,Vakið,0_21,0_19
Vakna,Vakna,0_21,0_21
tamast,tamast,0_11,0_11
tamast,tamist,0_11,0_7
tamast,tamið,0_11,0_19
tamist,tamast,0_7,0_11
tamist,tamist,0_7,0_7
tamist,tamið,0_7,0_19
tamið,tamast,0_19,0_11
tamið,tamist,0_19,0_7
tamið,tamið,0_19,0_19
útlagt,útlagt,0_17,0_17
útlagt,útlagði,0_17,0_5
útlagði,útlagt,0_5,0_17
útlagði,útlagði,0_5,0_5
húðstrýki,húðstrýki,0_15,0_15
húðstrýki,húðstrýkja,0_15,0_6
húðstrýki,húðstrýktu,0_15,0_4
húðstrýkja,húðstrýki,0_6,0_15
húðstrýkja,húðstrýkja,0_6,0_6
húðstrýkja,húðstrýktu,0_6,0_4
húðstrýktu,húðstrýki,0_4,0_15
húðstrýktu,húðstrýkja,0_4,0_6
húðstrýktu,húðstrýktu,0_4,0_4
hala,hala,0_20,0_20
hala,halt,0_20,0_17
hala,haltu,0_20,0_4
halt,hala,0_17,0_20
halt,halt,0_17,0_17
halt,haltu,0_17,0_4
haltu,hala,0_4,0_20
haltu,halt,0_4,0_17
haltu,haltu,0_4,0_4
smurði,smurði,0_5,0_5
smurði,smurðu,0_5,0_13
smurði,smurt,0_5,0_17
smurðu,smurði,0_13,0_5
smurðu,smurðu,0_13,0_13
smurðu,smurt,0_13,0_17
smurt,smurði,0_17,0_5
smurt,smurðu,0_17,0_13
smurt,smurt,0_17,0_17
hyrningarsteini,hyrningarsteini,0_15,0_15
hyrningarsteini,hyrningarsteinn,0_15,0_9
hyrningarsteinn,hyrningarsteini,0_9,0_15
hyrningarsteinn,hyrningarsteinn,0_9,0_9
dvelst,dvelst,0_12,0_12
dvelst,dvelur,0_12,0_16
dvelur,dvelst,0_16,0_12
dvelur,dvelur,0_16,0_16
háð,háð,0_18,0_18
háð,háði,0_18,0_5
háð,háir,0_18,0_8
háð,háum,0_18,0_1
háði,háð,0_5,0_18
háði,háði,0_5,0_5
háði,háir,0_5,0_8
háði,háum,0_5,0_1
háir,háð,0_8,0_18
háir,háði,0_8,0_5
háir,háir,0_8,0_8
háir,háum,0_8,0_1
háum,háð,0_1,0_18
háum,háði,0_1,0_5
háum,háir,0_1,0_8
háum,háum,0_1,0_1
lyftir,lyftir,0_8,0_8
lyftir,lyftið,0_8,0_19
lyftið,lyftir,0_19,0_8
lyftið,lyftið,0_19,0_19
kröftugi,kröftugi,0_15,0_15
kröftugi,kröftugt,0_15,0_17
kröftugt,kröftugi,0_17,0_15
kröftugt,kröftugt,0_17,0_17
treðst,treðst,0_12,0_12
treðst,treður,0_12,0_16
treður,treðst,0_16,0_12
treður,treður,0_16,0_16
haf,haf,0_14,0_14
haf,hafna,0_14,0_21
haf,hafi,0_14,0_15
haf,hafin,0_14,0_3
haf,hafinn,0_14,0_2
haf,hafir,0_14,0_8
haf,hafið,0_14,0_19
haf,hafðu,0_14,0_13
haf,hafði,0_14,0_5
haf,haft,0_14,0_17
haf,hafa,0_14,0_20
hafna,haf,0_21,0_14
hafna,hafna,0_21,0_21
hafna,hafi,0_21,0_15
hafna,hafin,0_21,0_3
hafna,hafinn,0_21,0_2
hafna,hafir,0_21,0_8
hafna,hafið,0_21,0_19
hafna,hafðu,0_21,0_13
hafna,hafði,0_21,0_5
hafna,haft,0_21,0_17
hafna,hafa,0_21,0_20
hafi,haf,0_15,0_14
hafi,hafna,0_15,0_21
hafi,hafi,0_15,0_15
hafi,hafin,0_15,0_3
hafi,hafinn,0_15,0_2
hafi,hafir,0_15,0_8
hafi,hafið,0_15,0_19
hafi,hafðu,0_15,0_13
hafi,hafði,0_15,0_5
hafi,haft,0_15,0_17
hafi,hafa,0_15,0_20
hafin,haf,0_3,0_14
hafin,hafna,0_3,0_21
hafin,hafi,0_3,0_15
hafin,hafin,0_3,0_3
hafin,hafinn,0_3,0_2
hafin,hafir,0_3,0_8
hafin,hafið,0_3,0_19
hafin,hafðu,0_3,0_13
hafin,hafði,0_3,0_5
hafin,haft,0_3,0_17
hafin,hafa,0_3,0_20
hafinn,haf,0_2,0_14
hafinn,hafna,0_2,0_21
hafinn,hafi,0_2,0_15
hafinn,hafin,0_2,0_3
hafinn,hafinn,0_2,0_2
hafinn,hafir,0_2,0_8
hafinn,hafið,0_2,0_19
hafinn,hafðu,0_2,0_13
hafinn,hafði,0_2,0_5
hafinn,haft,0_2,0_17
hafinn,hafa,0_2,0_20
hafir,haf,0_8,0_14
hafir,hafna,0_8,0_21
hafir,hafi,0_8,0_15
hafir,hafin,0_8,0_3
hafir,hafinn,0_8,0_2
hafir,hafir,0_8,0_8
hafir,hafið,0_8,0_19
hafir,hafðu,0_8,0_13
