src word,tgt word,src slot,tgt slot
Sekanja,Sekanja,0_0,0_0
Sekanja,Sekanjas,0_0,0_11
Sekanjas,Sekanja,0_11,0_0
Sekanjas,Sekanjas,0_11,0_11
omhägnas,omhägnas,0_4,0_4
yrke,yrke,0_5,0_5
yrke,yrket,0_5,0_2
yrket,yrke,0_2,0_5
yrket,yrket,0_2,0_2
trä,trä,0_2,0_2
trä,träd,0_2,0_5
trä,träda,0_2,0_0
trä,träet,0_2,0_2
träd,trä,0_5,0_2
träd,träd,0_5,0_5
träd,träda,0_5,0_0
träd,träet,0_5,0_2
träda,trä,0_0,0_2
träda,träd,0_0,0_5
träda,träda,0_0,0_0
träda,träet,0_0,0_2
träet,trä,0_2,0_2
träet,träd,0_2,0_5
träet,träda,0_2,0_0
träet,träet,0_2,0_2
Elia,Elia,0_0,0_0
Elia,Elis,0_0,0_4
Elia,Elias,0_0,0_11
Elis,Elia,0_4,0_0
Elis,Elis,0_4,0_4
Elis,Elias,0_4,0_11
Elias,Elia,0_11,0_0
Elias,Elis,0_11,0_4
Elias,Elias,0_11,0_11
trång,trång,0_2,0_2
trång,trånga,0_2,0_0
trång,trångt,0_2,0_10
trånga,trång,0_0,0_2
trånga,trånga,0_0,0_0
trånga,trångt,0_0,0_10
trångt,trång,0_10,0_2
trångt,trånga,0_10,0_0
trångt,trångt,0_10,0_10
ohöljd,ohöljd,0_5,0_5
ohöljd,ohöljt,0_5,0_10
ohöljt,ohöljd,0_10,0_5
ohöljt,ohöljt,0_10,0_10
hemställa,hemställa,0_0,0_0
hemställa,hemställde,0_0,0_1
hemställde,hemställa,0_1,0_0
hemställde,hemställde,0_1,0_1
cederträ,cederträ,0_2,0_2
cederträ,cederträet,0_2,0_2
cederträ,cederträd,0_2,0_5
cederträet,cederträ,0_2,0_2
cederträet,cederträet,0_2,0_2
cederträet,cederträd,0_2,0_5
cederträd,cederträ,0_5,0_2
cederträd,cederträet,0_5,0_2
cederträd,cederträd,0_5,0_5
bila,bila,0_0,0_0
bila,bild,0_0,0_5
bila,bilda,0_0,0_0
bila,bilor,0_0,0_13
bild,bila,0_5,0_0
bild,bild,0_5,0_5
bild,bilda,0_5,0_0
bild,bilor,0_5,0_13
bilda,bila,0_0,0_0
bilda,bild,0_0,0_5
bilda,bilda,0_0,0_0
bilda,bilor,0_0,0_13
bilor,bila,0_13,0_0
bilor,bild,0_13,0_5
bilor,bilda,0_13,0_0
bilor,bilor,0_13,0_13
fullgör,fullgör,0_2,0_2
fullgör,fullgören,0_2,0_6
fullgör,fullgöra,0_2,0_0
fullgören,fullgör,0_6,0_2
fullgören,fullgören,0_6,0_6
fullgören,fullgöra,0_6,0_0
fullgöra,fullgör,0_0,0_2
fullgöra,fullgören,0_0,0_6
fullgöra,fullgöra,0_0,0_0
härlighet,härlighet,0_7,0_7
härlighet,härlige,0_7,0_5
härlige,härlighet,0_5,0_7
härlige,härlige,0_5,0_5
obetänksam,obetänksam,0_2,0_2
obetänksam,obetänksamt,0_2,0_10
obetänksamt,obetänksam,0_10,0_2
obetänksamt,obetänksamt,0_10,0_10
Hodauja,Hodauja,0_0,0_0
Hodauja,Hodaujas,0_0,0_11
Hodaujas,Hodauja,0_11,0_0
Hodaujas,Hodaujas,0_11,0_11
barnaföderska,barnaföderska,0_0,0_0
barnaföderska,barnaföderskas,0_0,0_11
barnaföderska,barnaföderskor,0_0,0_13
barnaföderskas,barnaföderska,0_11,0_0
barnaföderskas,barnaföderskas,0_11,0_11
barnaföderskas,barnaföderskor,0_11,0_13
barnaföderskor,barnaföderska,0_13,0_0
barnaföderskor,barnaföderskas,0_13,0_11
barnaföderskor,barnaföderskor,0_13,0_13
lösta,lösta,0_0,0_0
lösta,löstes,0_0,0_3
löstes,lösta,0_3,0_0
löstes,löstes,0_3,0_3
bortkastad,bortkastad,0_5,0_5
bortkastad,bortkastat,0_5,0_10
bortkastad,bortkastade,0_5,0_1
bortkastat,bortkastad,0_10,0_5
bortkastat,bortkastat,0_10,0_10
bortkastat,bortkastade,0_10,0_1
bortkastade,bortkastad,0_1,0_5
bortkastade,bortkastat,0_1,0_10
bortkastade,bortkastade,0_1,0_1
försök,försök,0_2,0_2
försök,försökt,0_2,0_10
försök,försökte,0_2,0_1
försök,försöker,0_2,0_8
försök,försöka,0_2,0_0
försökt,försök,0_10,0_2
försökt,försökt,0_10,0_10
försökt,försökte,0_10,0_1
försökt,försöker,0_10,0_8
försökt,försöka,0_10,0_0
försökte,försök,0_1,0_2
försökte,försökt,0_1,0_10
försökte,försökte,0_1,0_1
försökte,försöker,0_1,0_8
försökte,försöka,0_1,0_0
försöker,försök,0_8,0_2
försöker,försökt,0_8,0_10
försöker,försökte,0_8,0_1
försöker,försöker,0_8,0_8
försöker,försöka,0_8,0_0
försöka,försök,0_0,0_2
försöka,försökt,0_0,0_10
försöka,försökte,0_0,0_1
försöka,försöker,0_0,0_8
försöka,försöka,0_0,0_0
ansatt,ansatt,0_2,0_2
ansatt,ansatte,0_2,0_5
ansatt,ansattes,0_2,0_3
ansatt,ansatta,0_2,0_0
ansatte,ansatt,0_5,0_2
ansatte,ansatte,0_5,0_5
ansatte,ansattes,0_5,0_3
ansatte,ansatta,0_5,0_0
ansattes,ansatt,0_3,0_2
ansattes,ansatte,0_3,0_5
ansattes,ansattes,0_3,0_3
ansattes,ansatta,0_3,0_0
ansatta,ansatt,0_0,0_2
ansatta,ansatte,0_0,0_5
ansatta,ansattes,0_0,0_3
ansatta,ansatta,0_0,0_0
löpa,löpa,0_0,0_0
löpa,löpen,0_0,0_6
löpa,löper,0_0,0_8
löpa,löpte,0_0,0_1
löpa,löpare,0_0,0_12
löpen,löpa,0_6,0_0
löpen,löpen,0_6,0_6
löpen,löper,0_6,0_8
löpen,löpte,0_6,0_1
löpen,löpare,0_6,0_12
löper,löpa,0_8,0_0
löper,löpen,0_8,0_6
löper,löper,0_8,0_8
löper,löpte,0_8,0_1
löper,löpare,0_8,0_12
löpte,löpa,0_1,0_0
löpte,löpen,0_1,0_6
löpte,löper,0_1,0_8
löpte,löpte,0_1,0_1
löpte,löpare,0_1,0_12
löpare,löpa,0_12,0_0
löpare,löpen,0_12,0_6
löpare,löper,0_12,0_8
löpare,löpte,0_12,0_1
löpare,löpare,0_12,0_12
grip,grip,0_2,0_2
grip,gripit,0_2,0_14
grip,gripes,0_2,0_3
grip,gripen,0_2,0_6
grip,griper,0_2,0_8
grip,gripet,0_2,0_2
grip,gripna,0_2,0_0
grip,gripa,0_2,0_0
grip,gripas,0_2,0_11
gripit,grip,0_14,0_2
gripit,gripit,0_14,0_14
gripit,gripes,0_14,0_3
gripit,gripen,0_14,0_6
gripit,griper,0_14,0_8
gripit,gripet,0_14,0_2
gripit,gripna,0_14,0_0
gripit,gripa,0_14,0_0
gripit,gripas,0_14,0_11
gripes,grip,0_3,0_2
gripes,gripit,0_3,0_14
gripes,gripes,0_3,0_3
gripes,gripen,0_3,0_6
gripes,griper,0_3,0_8
gripes,gripet,0_3,0_2
