2_4	PRN;NOM;NEUT;SG
2_10	V;PASS;IND;PST
1_8	N;DEF;NOM;SG
0_15	ADJ;INDF;NOM;PL
2_0	PRN;SG
1_9	PROPN;GEN;MASC
2_15	ADJ;DEF;MASC;SG
0_6	ADJ;INDF;MASC+FEM;SG
0_4	N;INDF;GEN;SG
2_5	V.CVB;ACT
1_4	N;DEF;NOM;PL
1_2	N;INDF;GEN;PL
2_1	N;INDF;NOM;PL
0_13	ADJ;PRS;GEN
1_1	N;INDF;NOM;SG
0_2	V;ACT;NFIN;COMPOUND
2_13	PROPN;MASC
0_10	ADJ;INDF;NEUT;SG
2_8	ADJ;PRS
0_9	V.PTCP;PRS
2_7	V;PASS;NFIN
0_5	V.PTCP;PST
0_11	ADJ;INDF;GEN;PL
2_2	N;INDF;NOM;SG;COMPOUND
2_12	V;IMP
0_3	V;PASS;IND;PRS
1_5	N;DEF;PL
2_3	PRN
0_0	V;ACT;NFIN
0_8	V.CVB
1_6	N;DEF;GEN;SG
0_1	V;ACT;IND;PST
1_3	PRN;DEF;ACC;PL
2_6	N;INDF;SG
1_0	N;INDF;PL
0_12	V.CVB;COMPV
0_14	PRN;NEUT;SG
2_11	ADJ;DEF;PL
0_7	PRN;INDF;GEN;PL
1_7	DET;SG
2_14	N;DEF;SG
2_9	V;ACT;IND;PRS
