schaffst	schaffte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
werden	werdest	N;DAT;PL	V;SBJV;PRS;2;SG	C
ehren	ehret	N;DAT;PL	V;SBJV;PRS;2;PL	C
Schau	Schauen	N;NOM;SG	N;DAT;PL	C
wachet	wachte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
verführt	verführe	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
hauest	haue	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
Kräften	Kräfte	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
herrschet	herrschest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
steigest	steigen	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
entsetzet	entsetzt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
webte	webet	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
saht	sahet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
könnt	könne	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
sagen	sage	N;DAT;PL	V;SBJV;PRS;1;SG	C
erhöht	erhöhet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
Stühle	Stühlen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Könnt	Könnet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
raubest	rauben	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
irren	irre	N;DAT;PL	V;SBJV;PRS;1;SG	C
leide	leiden	V;SBJV;PRS;1;SG	N;DAT;PL	C
allem	allen	ADJ;DAT;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
schrecke	schreckt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
könnte	könnten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
erbet	erbte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
fallen	fallest	N;DAT;PL	V;SBJV;PRS;2;SG	C
meinte	meinen	V;SBJV;PST;1;SG	N;DAT;PL	TGT_SLOT_ERROR
Ringe	Ring	V;SBJV;PRS;1;SG	N;NOM;SG	C
bestimmst	bestimmt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
strecken	strecke	N;DAT;PL	V;SBJV;PRS;1;SG	C
stärke	stärket	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
tragen	tragt	N;DAT;PL	V;IND;PRS;2;PL	C
allen	all	N;DAT;PL	N;NOM;SG	SRC_POS_ERROR;SRC_SLOT_ERROR
sollten	sollt	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
Gibt	Gibst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
übte	übest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
scheue	scheu	V;SBJV;PRS;1;SG	N;NOM;SG	POS_PAIR_ERROR
messen	messet	N;DAT;PL	V;SBJV;PRS;2;PL	C
meine	meinet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
stellet	stelle	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
viele	vielen	V;SBJV;PRS;1;SG	N;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
grüße	grüßt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
Sorge	Sorgen	V;SBJV;PRS;1;SG	N;DAT;PL	C
demütigte	demütigst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
leget	legest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
stiftete	stiften	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
schaffte	schaffen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
