src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation 1,annotation 2
brechen,breche,0_0,V;NFIN,0_10,V;SBJV;PRS;1;SG,
brechen,brecht,0_0,V;NFIN,0_12,V;IND;PRS;2;PL,
brechen,brechet,0_0,V;NFIN,0_14,V;SBJV;PRS;2;PL,
breche,brechen,0_10,V;SBJV;PRS;1;SG,0_0,V;NFIN,
breche,brecht,0_10,V;SBJV;PRS;1;SG,0_12,V;IND;PRS;2;PL,
breche,brechet,0_10,V;SBJV;PRS;1;SG,0_14,V;SBJV;PRS;2;PL,
brecht,brechen,0_12,V;IND;PRS;2;PL,0_0,V;NFIN,
brecht,breche,0_12,V;IND;PRS;2;PL,0_10,V;SBJV;PRS;1;SG,
brecht,brechet,0_12,V;IND;PRS;2;PL,0_14,V;SBJV;PRS;2;PL,
brechet,brechen,0_14,V;SBJV;PRS;2;PL,0_0,V;NFIN,
brechet,breche,0_14,V;SBJV;PRS;2;PL,0_10,V;SBJV;PRS;1;SG,
brechet,brecht,0_14,V;SBJV;PRS;2;PL,0_12,V;IND;PRS;2;PL,

leihen,leihst,0_0,V;NFIN,0_3,V;IND;PRS;2;SG,
leihen,leiher,0_0,V;NFIN,0_7,V;IND;PST;3;SG,
leihen,leihe,0_0,V;NFIN,0_10,V;SBJV;PRS;1;SG,
leihen,leihet,0_0,V;NFIN,0_14,V;SBJV;PRS;2;PL,
leihst,leihen,0_3,V;IND;PRS;2;SG,0_0,V;NFIN,
leihst,leiher,0_3,V;IND;PRS;2;SG,0_7,V;IND;PST;3;SG,
leihst,leihe,0_3,V;IND;PRS;2;SG,0_10,V;SBJV;PRS;1;SG,
leihst,leihet,0_3,V;IND;PRS;2;SG,0_14,V;SBJV;PRS;2;PL,
leiher,leihen,0_7,V;IND;PST;3;SG,0_0,V;NFIN,
leiher,leihst,0_7,V;IND;PST;3;SG,0_3,V;IND;PRS;2;SG,
leiher,leihe,0_7,V;IND;PST;3;SG,0_10,V;SBJV;PRS;1;SG,
leiher,leihet,0_7,V;IND;PST;3;SG,0_14,V;SBJV;PRS;2;PL,
leihe,leihen,0_10,V;SBJV;PRS;1;SG,0_0,V;NFIN,
leihe,leihst,0_10,V;SBJV;PRS;1;SG,0_3,V;IND;PRS;2;SG,
leihe,leiher,0_10,V;SBJV;PRS;1;SG,0_7,V;IND;PST;3;SG,
leihe,leihet,0_10,V;SBJV;PRS;1;SG,0_14,V;SBJV;PRS;2;PL,
leihet,leihen,0_14,V;SBJV;PRS;2;PL,0_0,V;NFIN,
leihet,leihst,0_14,V;SBJV;PRS;2;PL,0_3,V;IND;PRS;2;SG,
leihet,leiher,0_14,V;SBJV;PRS;2;PL,0_7,V;IND;PST;3;SG,
leihet,leihe,0_14,V;SBJV;PRS;2;PL,0_10,V;SBJV;PRS;1;SG,

flüchtigen,flüchtige,0_0,V;NFIN,0_10,V;SBJV;PRS;1;SG,
flüchtigen,flüchtig,0_0,V;NFIN,0_13,V;IMP;2;SG,
flüchtige,flüchtigen,0_10,V;SBJV;PRS;1;SG,0_0,V;NFIN,
flüchtige,flüchtig,0_10,V;SBJV;PRS;1;SG,0_13,V;IMP;2;SG,
flüchtig,flüchtigen,0_13,V;IMP;2;SG,0_0,V;NFIN,
flüchtig,flüchtige,0_13,V;IMP;2;SG,0_10,V;SBJV;PRS;1;SG,

unverständigen,unverständiger,0_0,V;NFIN,0_7,V;IND;PST;3;SG,
unverständigen,unverständige,0_0,V;NFIN,0_10,V;SBJV;PRS;1;SG,
unverständigen,unverständiges,0_0,V;NFIN,0_11,?,
unverständigen,unverständig,0_0,V;NFIN,0_13,V;IMP;2;SG,
unverständiger,unverständigen,0_7,V;IND;PST;3;SG,0_0,V;NFIN,
