src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation 1,annotation 2
konungatron,konungatronen,2_0,N;INDF;NOM;SG,2_1,N;DEF;NOM;SG,
konungatron,konungatroner,2_0,N;INDF;NOM;SG,2_5,N;INDF;NOM;PL,
konungatronen,konungatron,2_1,N;DEF;NOM;SG,2_0,N;INDF;NOM;SG,
konungatronen,konungatroner,2_1,N;DEF;NOM;SG,2_5,N;INDF;NOM;PL,
konungatroner,konungatron,2_5,N;INDF;NOM;PL,2_0,N;INDF;NOM;SG,
konungatroner,konungatronen,2_5,N;INDF;NOM;PL,2_1,N;DEF;NOM;SG,

spörj,spörjen,2_0,N;INDF;NOM;SG,2_1,N;DEF;NOM;SG,
spörjen,spörj,2_1,N;DEF;NOM;SG,2_0,N;INDF;NOM;SG,

perserna,perser,2_3,ADJ;INDF;MASC;SG;COMPV,2_5,N;INDF;NOM;PL,
perser,perserna,2_5,N;INDF;NOM;PL,2_3,ADJ;INDF;MASC;SG;COMPV,

oroligheterna,oroligheter,2_3,ADJ;INDF;MASC;SG;COMPV,2_5,N;INDF;NOM;PL,
oroligheter,oroligheterna,2_5,N;INDF;NOM;PL,2_3,ADJ;INDF;MASC;SG;COMPV,

arab,araben,2_0,N;INDF;NOM;SG,2_1,N;DEF;NOM;SG,
arab,araberna,2_0,N;INDF;NOM;SG,2_3,ADJ;INDF;MASC;SG;COMPV,
arab,araber,2_0,N;INDF;NOM;SG,2_5,N;INDF;NOM;PL,
araben,arab,2_1,N;DEF;NOM;SG,2_0,N;INDF;NOM;SG,
araben,araberna,2_1,N;DEF;NOM;SG,2_3,ADJ;INDF;MASC;SG;COMPV,
araben,araber,2_1,N;DEF;NOM;SG,2_5,N;INDF;NOM;PL,
araberna,arab,2_3,ADJ;INDF;MASC;SG;COMPV,2_0,N;INDF;NOM;SG,
araberna,araben,2_3,ADJ;INDF;MASC;SG;COMPV,2_1,N;DEF;NOM;SG,
araberna,araber,2_3,ADJ;INDF;MASC;SG;COMPV,2_5,N;INDF;NOM;PL,
araber,arab,2_5,N;INDF;NOM;PL,2_0,N;INDF;NOM;SG,
araber,araben,2_5,N;INDF;NOM;PL,2_1,N;DEF;NOM;SG,
araber,araberna,2_5,N;INDF;NOM;PL,2_3,ADJ;INDF;MASC;SG;COMPV,

